review_date,n_eligible,n_selected,tickers_selected
2022-05-31,8,7,"JNJ,KO,MCD,MRK,PFE,UNH,XOM"
2022-06-30,8,7,"JNJ,KO,MCD,MRK,PFE,UNH,XOM"
2022-07-29,5,5,"JNJ,KO,MRK,PFE,UNH"
2022-08-31,6,5,"KO,MCD,MRK,UNH,XOM"
2022-09-30,3,3,"MRK,UNH,XOM"
2022-10-31,0,0,
2022-11-30,5,5,"CVX,MCD,UNH,V,XOM"
2022-12-30,10,8,"CVX,HON,JNJ,KO,MCD,MRK,UNH,XOM"
2023-01-31,8,7,"CVX,FCX,HON,KO,MCD,MRK,XOM"
2023-02-28,7,6,"MCD,MRK,MS,SBUX,V,XOM"
2023-03-31,5,5,"CVX,MRK,MS,SBUX,XOM"
2023-04-28,8,8,"CVX,HON,MRK,MS,NKE,NVDA,V,XOM"
2023-05-31,4,4,"MCD,MRK,V,WMT"
2023-06-30,11,8,"AMZN,FCX,GOOG,GOOGL,MRK,MSFT,WMT,XOM"
2023-07-31,9,8,"AMZN,AXP,MCD,MS,MSFT,SBUX,V,WFC"
2023-08-31,9,8,"AAPL,FCX,INTC,MCD,MRK,MSFT,V,XOM"
2023-09-29,11,8,"AAPL,AMZN,GOOG,GOOGL,INTC,MSFT,V,XOM"
2023-10-31,9,7,"AAPL,AMZN,GOOG,GOOGL,INTC,MSFT,V"
2023-11-30,6,4,"AMZN,GOOG,GOOGL,UNH"
2023-12-29,11,7,"AMZN,DIS,EBAY,GOOG,GOOGL,MSFT,V"
2024-01-31,14,8,"AMZN,GOOG,GOOGL,INTC,MCD,MSFT,V,WFC"
2024-02-29,13,8,"ABT,GOOG,GOOGL,INTC,MCD,MRK,MSFT,V"
2024-03-28,12,8,"ABT,GOOGL,HON,INTC,JNJ,MCD,MSFT,V"
2024-04-30,18,8,"AXP,BAC,FCX,GOOG,GOOGL,MSFT,V,WFC"
2024-05-31,18,8,"AXP,BAC,DIS,FCX,GOOG,GOOGL,TGT,WFC"
2024-06-28,20,8,"AXP,BAC,FCX,GOOG,GOOGL,MS,MSFT,WFC"
2024-07-31,15,8,"EBAY,GOOG,GOOGL,HON,MS,MSFT,WFC,XOM"
2024-08-30,14,8,"AXP,GOOG,GOOGL,HON,MS,MSFT,TGT,WFC"
2024-09-30,19,8,"AAPL,GOOG,GOOGL,KO,MS,MSFT,TGT,WFC"
2024-10-31,19,8,"ABT,AXP,EBAY,GOOG,GOOGL,KO,MS,XOM"
2024-11-29,13,8,"ABT,EBAY,GOOG,GOOGL,KO,MS,MSFT,XOM"
2024-12-31,17,8,"AXP,DIS,EBAY,GOOG,MS,V,WFC,WMT"
2025-01-31,11,8,"AXP,DIS,EBAY,GOOG,GOOGL,HON,MCD,UNH"
2025-02-28,12,8,"CVX,DIS,EBAY,HON,MCD,MS,WFC,WMT"
2025-03-31,10,8,"ABT,EBAY,KO,MS,SBUX,V,WFC,WMT"
2025-04-30,8,8,"ABT,EBAY,JNJ,KO,MCD,V,WFC,WMT"
2025-05-30,12,8,"ABT,AXP,JNJ,KO,MCD,MS,V,WFC"
2025-06-30,6,3,"ABT,EBAY,KO"
2025-07-31,16,8,"ABT,AXP,BAC,DIS,HON,MCD,MS,WFC"
2025-08-29,11,8,"ABT,DIS,EBAY,HON,MCD,MSFT,V,WFC"
2025-09-30,16,8,"AXP,BAC,DIS,EBAY,GOOG,GOOGL,MS,WFC"
2025-10-31,12,8,"BAC,CVX,DIS,EBAY,INTC,JNJ,MS,WFC"
2025-11-28,11,7,"BAC,EBAY,INTC,MCD,MS,MSFT,WFC"
2025-12-31,20,8,"BAC,EBAY,INTC,JNJ,KO,MS,WFC,XOM"
2026-01-30,13,8,"AAPL,AXP,BAC,EBAY,FCX,INTC,MS,WFC"
2026-02-27,11,7,"AAPL,EBAY,FCX,INTC,MS,PFE,XOM"
2026-03-31,17,8,"AAPL,EBAY,FCX,HON,INTC,JNJ,MRK,MS"
2026-04-30,15,8,"BAC,EBAY,FCX,JNJ,MRK,PFE,TGT,XOM"
2026-05-29,19,8,"AMZN,EBAY,FCX,INTC,JNJ,MRK,TGT,XOM"
2026-06-30,18,8,"EBAY,FCX,GOOG,GOOGL,INTC,MS,TGT,XOM"
2026-07-31,21,8,"FCX,GOOG,GOOGL,INTC,JNJ,MRK,MS,UNH"
2026-08-31,20,8,"FCX,GOOG,GOOGL,INTC,JNJ,MRK,MS,TGT"
