date,nav
2016-06-01,100.0
2016-06-02,100.0
2016-06-03,100.0
2016-06-06,100.0
2016-06-07,100.0
2016-06-08,100.0
2016-06-09,100.0
2016-06-10,100.0
2016-06-13,100.0
2016-06-14,100.0
2016-06-15,100.0
2016-06-16,100.0
2016-06-17,100.0
2016-06-20,100.0
2016-06-21,100.0
2016-06-22,100.0
2016-06-23,100.0
2016-06-24,100.0
2016-06-27,100.0
2016-06-28,100.0
2016-06-29,100.0
2016-06-30,100.0
2016-07-01,99.9
2016-07-05,100.1666788993375
2016-07-06,100.7183126592398
2016-07-07,100.9060347941223
2016-07-08,102.62243288519056
2016-07-11,103.36904216497737
2016-07-12,104.19505680103062
2016-07-13,104.35427109992419
2016-07-14,105.10043854677208
2016-07-15,104.74874003396712
2016-07-18,104.48495244163756
2016-07-19,104.87497984643845
2016-07-20,105.22819214932987
2016-07-21,104.37507696019219
2016-07-22,105.19940235482795
2016-07-25,104.93542160867723
2016-07-26,104.64373301513069
2016-07-27,103.90439468430141
2016-07-28,103.70980991092928
2016-07-29,103.93297467224542
2016-08-01,103.50198768507421
2016-08-02,103.46405172061361
2016-08-03,103.66339350061067
2016-08-04,103.88654315973766
2016-08-05,105.91725155678348
2016-08-08,105.8849018071073
2016-08-09,105.86440168576306
2016-08-10,105.29024896299487
2016-08-11,106.10576304174607
2016-08-12,106.28084015141621
2016-08-15,106.5334148218992
2016-08-16,106.51137350554434
2016-08-17,106.78247797635541
2016-08-18,107.15617352079379
2016-08-19,106.87169268210077
2016-08-22,106.96094379604396
2016-08-23,106.78771743002468
2016-08-24,106.30791263071016
2016-08-25,105.72372898011008
2016-08-26,105.72775014639045
2016-08-29,106.2495736899472
2016-08-30,106.1822412286565
2016-08-31,105.8858975203077
2016-09-01,105.8855868144749
2016-09-02,106.26211896545547
2016-09-06,107.03850002225336
2016-09-07,106.67427257509186
2016-09-08,106.99618955396215
2016-09-09,104.47303652922167
2016-09-12,106.57857790290655
2016-09-13,103.81196324126522
2016-09-14,103.21893685565277
2016-09-15,104.26875488192962
2016-09-16,104.26487928093317
2016-09-19,104.30538665891525
2016-09-20,104.08656485337664
2016-09-21,106.27490206319665
2016-09-22,107.06674116379632
2016-09-23,106.37344053641688
2016-09-26,105.50163275974816
2016-09-27,106.10990145847673
2016-09-28,108.02931173123847
2016-09-29,106.8621596720242
2016-09-30,108.26351586942663
2016-10-03,107.72025760175522
2016-10-04,107.33767025838733
2016-10-05,107.73326939363261
2016-10-06,107.56526447780972
2016-10-07,107.34832174249546
2016-10-10,108.4303971950148
2016-10-11,106.56014605513498
2016-10-12,106.3673845593661
2016-10-13,106.11530228223722
2016-10-14,106.39283578259437
2016-10-17,106.2844800123213
2016-10-18,107.07180206451879
2016-10-19,106.92543305800373
2016-10-20,105.46891728573263
2016-10-21,104.90581212673642
2016-10-24,104.972572978692
2016-10-25,104.85957412007703
2016-10-26,104.45359317465538
2016-10-27,104.43912800855468
2016-10-28,103.84381687795984
2016-10-31,103.9285144515247
2016-11-01,103.73265210557494
2016-11-02,103.22082436573228
2016-11-03,102.87910260767234
2016-11-04,102.60568840636083
2016-11-07,104.92437450359039
2016-11-08,105.45889486714974
2016-11-09,106.931465462866
2016-11-10,107.12021812072878
2016-11-11,107.05718712286489
2016-11-14,106.15999066290034
2016-11-15,106.95875719873125
2016-11-16,106.88325872424791
2016-11-17,107.39896049474343
2016-11-18,107.1093052746764
2016-11-21,107.73859455830522
2016-11-22,107.48564818914008
2016-11-23,107.55357580808003
2016-11-25,108.01694243256698
2016-11-28,107.29330488892822
2016-11-29,107.61983468628999
2016-11-30,106.73628241887445
2016-12-01,106.16975331716581
2016-12-02,106.21708593227706
2016-12-05,106.37794303112713
2016-12-06,106.57511066897767
2016-12-07,107.54517577627146
2016-12-08,107.65020957698707
2016-12-09,108.28937245046876
2016-12-12,109.10533021208954
2016-12-13,110.1362207327236
2016-12-14,109.4702762676449
2016-12-15,109.69763160422602
2016-12-16,109.67790601739165
2016-12-19,109.55630860057306
2016-12-20,109.63293805613311
2016-12-21,109.12193042363545
2016-12-22,109.28071565982538
2016-12-23,109.1970754751634
2016-12-27,109.30815166947934
2016-12-28,108.65834113407053
2016-12-29,108.66728201611043
2016-12-30,108.26758240359874
2017-01-03,108.56640156244273
2017-01-04,110.23813803020293
2017-01-05,109.22487077261
2017-01-06,109.94313767075904
2017-01-09,109.70993367302624
2017-01-10,110.19605465695282
2017-01-11,111.1752488419979
2017-01-12,110.38249467733229
2017-01-13,110.44279526031208
2017-01-17,108.76913577122048
2017-01-18,109.38803697246905
2017-01-19,109.07601934042664
2017-01-20,110.02457149687581
2017-01-23,109.77161654711915
2017-01-24,111.88191330493015
2017-01-25,112.33563078742839
2017-01-26,112.30421204195822
2017-01-27,113.21431803791545
2017-01-30,112.08269958526701
2017-01-31,110.9493550362236
2017-02-01,111.3328188167389
2017-02-02,111.26142797994332
2017-02-03,111.48718329100848
2017-02-06,111.68203894305812
2017-02-07,111.29339227009652
2017-02-08,110.94669709591842
2017-02-09,111.32453146969115
2017-02-10,111.57617258756221
2017-02-13,111.88527137322598
2017-02-14,112.6660770294587
2017-02-15,112.91349581551577
2017-02-16,112.01224559667534
2017-02-17,111.32939942057183
2017-02-21,112.0393395411117
2017-02-22,111.41422793723675
2017-02-23,110.00357695126154
2017-02-24,109.16140685568068
2017-02-27,110.38427762728094
2017-02-28,110.15798279853912
2017-03-01,112.60549930733478
2017-03-02,110.76020609196246
2017-03-03,110.88910153691914
2017-03-06,110.18697725553291
2017-03-07,109.74347139501347
2017-03-08,109.25365318741517
2017-03-09,109.38547537900712
2017-03-10,109.55752692473264
2017-03-13,109.83637223741125
2017-03-14,109.1452119748697
2017-03-15,110.19412557022179
2017-03-16,110.38233228815238
2017-03-17,110.11130216251377
2017-03-20,110.13329337987719
2017-03-21,107.66962041615477
2017-03-22,108.27114020671695
2017-03-23,108.09457542082806
2017-03-24,108.02421484443016
2017-03-27,106.942248339444
2017-03-28,108.17874721681605
2017-03-29,108.61511367464188
2017-03-30,110.1514807736572
2017-03-31,109.76846549403922
2017-04-03,109.84854870384119
2017-04-04,109.13395848620908
2017-04-05,108.37572401861337
2017-04-06,108.85709221764553
2017-04-07,108.41114068831082
2017-04-10,107.96512212736627
2017-04-11,107.91559050952326
2017-04-12,106.83616443142016
2017-04-13,105.84268252156158
2017-04-17,107.34298183793999
2017-04-18,106.58933200717868
2017-04-19,106.82195685281947
2017-04-20,107.97730886787613
2017-04-21,106.90819893295995
2017-04-24,108.41489425868743
2017-04-25,110.55720675864164
2017-04-26,111.04464300510477
2017-04-27,110.40120076908401
2017-04-28,109.64077150653621
2017-05-01,109.91429153200028
2017-05-02,109.98726917640123
2017-05-03,110.34084214064434
2017-05-04,110.21126790238937
2017-05-05,110.11770683099088
2017-05-08,109.82521103025135
2017-05-09,109.83981797159815
2017-05-10,112.6155254712018
2017-05-11,113.02740799866261
2017-05-12,112.84146776507043
2017-05-15,114.11677156459264
2017-05-16,114.67757158196362
2017-05-17,110.57233232133727
2017-05-18,111.69238378849992
2017-05-19,112.65347035116613
2017-05-22,113.27690989182472
2017-05-23,114.14564289294941
2017-05-24,114.76197874755545
2017-05-25,115.00135516153162
2017-05-26,115.22882300952365
2017-05-30,114.92631020184483
2017-05-31,114.36364302840947
2017-06-01,115.28969945339531
2017-06-02,115.3765876193257
2017-06-05,115.48791966083121
2017-06-06,115.14066200885652
2017-06-07,115.95471621591295
2017-06-08,116.19612985265101
2017-06-09,116.61818704135727
2017-06-12,116.33805329967362
2017-06-13,116.63139445276623
2017-06-14,116.53877264680189
2017-06-15,115.88198600164662
2017-06-16,115.770298870225
2017-06-19,117.32515608230949
2017-06-20,116.87071743513599
2017-06-21,116.76243214045385
2017-06-22,116.68858005197838
2017-06-23,116.37994825111657
2017-06-26,116.5170490255551
