date,nav
2016-06-01,100.0
2016-06-02,100.0
2016-06-03,100.0
2016-06-06,100.0
2016-06-07,100.0
2016-06-08,100.0
2016-06-09,100.0
2016-06-10,100.0
2016-06-13,100.0
2016-06-14,100.0
2016-06-15,100.0
2016-06-16,100.0
2016-06-17,100.0
2016-06-20,100.0
2016-06-21,100.0
2016-06-22,100.0
2016-06-23,100.0
2016-06-24,100.0
2016-06-27,100.0
2016-06-28,100.0
2016-06-29,100.0
2016-06-30,100.0
2016-07-01,99.9
2016-07-05,100.02746323103679
2016-07-06,100.53375208478484
2016-07-07,100.66590170231807
2016-07-08,102.45367582195904
2016-07-11,103.2587833687026
2016-07-12,103.8485340565131
2016-07-13,103.92523021222556
2016-07-14,104.30053133698681
2016-07-15,103.94936977280531
2016-07-18,103.87324957353776
2016-07-19,104.41040685866936
2016-07-20,104.80033347358498
2016-07-21,103.87292314644517
2016-07-22,104.35581919194442
2016-07-25,103.9906593532887
2016-07-26,103.54876283928698
2016-07-27,102.33000492717339
2016-07-28,102.70137978977812
2016-07-29,102.93029032962734
2016-08-01,102.45890931793032
2016-08-02,102.35805033284711
2016-08-03,102.67063305086509
2016-08-04,102.71464498086554
2016-08-05,103.14675703335895
2016-08-08,103.22983320286538
2016-08-09,103.33909851029212
2016-08-10,103.0559901366389
2016-08-11,103.53266584588481
2016-08-12,103.82382742000262
2016-08-15,103.94602355634879
2016-08-16,103.73627198650479
2016-08-17,103.97997359032527
2016-08-18,104.58514411666076
2016-08-19,104.07777824933456
2016-08-22,103.99911654160324
2016-08-23,103.83740508145513
2016-08-24,103.70378231458524
2016-08-25,103.05166552268922
2016-08-26,102.78553101408929
2016-08-29,103.30729877183302
2016-08-30,103.14181089979706
2016-08-31,102.96237869622638
2016-09-01,103.00823086186969
2016-09-02,103.33771568774158
2016-09-06,104.33906355815625
2016-09-07,103.95199121446984
2016-09-08,104.1127116174361
2016-09-09,101.43307070284561
2016-09-12,103.63377927224003
2016-09-13,101.23081497259639
2016-09-14,100.76782562690086
2016-09-15,102.12477278428216
2016-09-16,102.49172706411062
2016-09-19,102.45945704917631
2016-09-20,102.3867548631417
2016-09-21,104.53884035949159
2016-09-22,105.7745842338882
2016-09-23,105.0396240951909
2016-09-26,104.08191509858531
2016-09-27,105.10436994541276
2016-09-28,106.65334374140153
2016-09-29,105.7071100286323
2016-09-30,106.82603901860263
2016-10-03,106.28998503633177
2016-10-04,105.97803760960201
2016-10-05,106.34492390064155
2016-10-06,106.35064698872162
2016-10-07,105.22641827612222
2016-10-10,106.07625195516964
2016-10-11,104.47438221598311
2016-10-12,104.54545995443242
2016-10-13,104.45692261305199
2016-10-14,104.8765539964728
2016-10-17,104.65984058408698
2016-10-18,104.92459854292083
2016-10-19,104.55529235721843
2016-10-20,102.9574508760976
2016-10-21,103.16971948639193
2016-10-24,103.67093250901858
2016-10-25,103.73544686937643
2016-10-26,103.29072466936908
2016-10-27,103.0573422714036
2016-10-28,102.95359108764664
2016-10-31,102.94186535120811
2016-11-01,102.87974021790863
2016-11-02,102.23157292081781
2016-11-03,101.87034727946322
2016-11-04,101.42454722000701
2016-11-07,103.65365138497312
2016-11-08,103.90885371711184
2016-11-09,105.11621818926169
2016-11-10,104.998315281853
2016-11-11,104.73936897952494
2016-11-14,104.08325884806415
2016-11-15,105.41272302157745
2016-11-16,105.15196967477085
2016-11-17,105.18703878993963
2016-11-18,104.81621229599133
2016-11-21,105.7215633325816
2016-11-22,105.99931958576431
2016-11-23,106.05088112685763
2016-11-25,106.42711854617566
2016-11-28,105.71436638726202
2016-11-29,105.91717367054933
2016-11-30,105.01283502622584
2016-12-01,104.6552222294618
2016-12-02,104.6035351346599
2016-12-05,105.35275526234112
2016-12-06,105.4130977070245
2016-12-07,106.86178886074508
2016-12-08,106.78636056067909
2016-12-09,107.84734208719091
2016-12-12,108.56543655958616
2016-12-13,109.70004626492283
2016-12-14,109.03122866684055
2016-12-15,108.94965830385955
2016-12-16,108.65784724499666
2016-12-19,109.02115929885514
2016-12-20,109.13361313303585
2016-12-21,108.60742857269184
2016-12-22,108.21212097338864
2016-12-23,107.96017779882182
2016-12-27,108.31785051901055
2016-12-28,107.65907651843567
2016-12-29,107.42578091264765
2016-12-30,106.5361856633062
2017-01-03,107.45768824599584
2017-01-04,109.11235242935939
2017-01-05,108.10943296708292
2017-01-06,108.82036470386271
2017-01-09,108.58954225672026
2017-01-10,109.07069882439534
2017-01-11,110.03989317876791
2017-01-12,109.25523486223196
2017-01-13,109.31491963720507
2017-01-17,107.65835207099244
2017-01-18,108.27093286377657
2017-01-19,107.96210165127678
2017-01-20,108.9009669028266
2017-01-23,108.6505952064266
2017-01-24,110.73934096794991
2017-01-25,111.18842494866942
2017-01-26,111.15732706104282
2017-01-27,112.058138776057
2017-01-30,110.93807675734699
2017-01-31,109.81630626966661
2017-02-01,110.19585400070699
2017-02-02,110.12519222898392
2017-02-03,110.34864205772642
2017-02-06,110.54150778422725
2017-02-07,110.1568300900243
2017-02-08,109.81367547306121
2017-02-09,110.1876512865834
2017-02-10,110.43672256835109
2017-02-13,110.74266474262468
2017-02-14,111.51549657255238
2017-02-15,111.76038864225067
2017-02-16,110.8683422664473
2017-02-17,110.19246952446001
2017-02-21,110.89515951923174
2017-02-22,110.27643174635337
2017-02-23,108.88018675993696
2017-02-24,108.04661716309462
2017-02-27,109.25699960415012
2017-02-28,109.03301576745058
2017-03-01,111.45553748866487
2017-03-02,109.62908897230797
2017-03-03,109.75666809753594
2017-03-06,109.06171412417659
2017-03-07,108.62273748122726
2017-03-08,108.13792144706002
2017-03-09,108.26839743009097
2017-03-10,108.43869193278002
2017-03-13,108.7146895917928
2017-03-14,108.03058766936246
2017-03-15,109.06878943808834
2017-03-16,109.25507413142007
2017-03-17,108.98681184836562
2017-03-20,109.00857848468753
2017-03-21,106.57006530320841
2017-03-22,107.16544218959118
2017-03-23,106.99068053732846
2017-03-24,106.9210385046686
2017-03-27,105.85012137273677
2017-03-28,107.0739927451774
2017-03-29,107.50590289519825
2017-03-30,109.02658014323653
2017-03-31,108.64747633286505
2017-04-03,108.72674170842132
2017-04-04,108.01944910477188
2017-04-05,107.26895795959558
2017-04-06,107.74541027927003
2017-04-07,107.3040129434238
2017-04-10,106.86254926051504
2017-04-11,106.81352347471119
2017-04-12,105.74512082604565
2017-04-13,104.76178465747772
2017-04-17,106.2467624581129
2017-04-18,105.50080913005664
2017-04-19,105.73105833958546
2017-04-20,106.8746115463014
2017-04-21,105.81641968921159
2017-04-24,107.30772818119105
2017-04-25,109.42816273030131
2017-04-26,109.91062112864942
2017-04-27,109.27374992165029
2017-04-28,108.5210863954396
2017-05-01,108.79181315070053
2017-05-02,108.75959036491277
2017-05-03,109.08243212432
2017-05-04,108.87864824523534
2017-05-05,109.08979706777352
2017-05-08,109.1959560347132
2017-05-09,109.28602559427517
2017-05-10,111.9458534182221
2017-05-11,112.49905667036145
2017-05-12,112.41418400870877
2017-05-15,113.57288524177766
2017-05-16,114.12222271249489
2017-05-17,109.74583485056532
2017-05-18,111.07406932834479
2017-05-19,111.96059150352015
2017-05-22,112.53963314728149
2017-05-23,113.30243478672105
2017-05-24,113.72850994609907
2017-05-25,113.98037934501944
2017-05-26,114.23721718844615
2017-05-30,113.93534572419152
2017-05-31,113.21650576609451
2017-06-01,114.1469151614539
2017-06-02,114.8721773274828
2017-06-05,115.12280885359102
2017-06-06,115.0993082380332
2017-06-07,116.05140814022505
2017-06-08,116.5832515044591
2017-06-09,115.65548513552768
2017-06-12,114.72682108290675
2017-06-13,115.52043016670805
2017-06-14,115.24424832382502
2017-06-15,114.49518886290616
2017-06-16,114.31826064443645
2017-06-19,116.2978501697386
2017-06-20,115.52160091940053
2017-06-21,115.24697166140275
2017-06-22,115.10481582096517
2017-06-23,115.00929539389575
2017-06-26,114.84776641750756
