ticker,dias,razon_mediana,exactos,desvio_p95,desvio_max,bloques,aprueba
CHILE,384,1.0,0.9375,0.0023980228117281514,0.07376053129913851,1,True
BCI,384,1.0,0.9453125,0.003413130999576929,0.03171509167842035,2,True
ENELCHILE,384,1.0,0.9348958333333334,0.008786490945946291,0.046286079442969696,4,True
ECL,384,1.0,0.9609375,3.8959081510858674e-08,0.03763706563706559,2,True
ILC,384,1.0,0.9765625,4.1881212264893716e-08,0.0480770166193758,2,True
LTM,384,1.0,0.9296875,0.0028023785704825045,0.03218727679870148,3,True
PARAUCO,384,1.0,0.9270833333333334,0.005436381238029442,0.026812948408403647,3,True
MALLPLAZA,384,1.0,0.9010416666666666,0.011412151971568056,0.05958073284133858,3,True
SALFACORP,384,1.0,0.9661458333333334,4.064642638024195e-08,0.03395683453237408,2,True
BSANTANDER,384,1.0,0.953125,4.997808015216873e-08,0.05391242635899807,4,True
SQM-B,384,1.0,0.9557291666666666,0.0,0.025050934029670957,1,True
