date,Sigma-6,Delta-12,IPSA Total Return,Gamma-6,Conjunto AlphaData,Oro
2021-07-08,100.0,100.0,100.0,100.0,100.0,99.9
2021-07-09,100.0,100.0,101.4247306693154,100.0,100.21684280910223,100.7665038651725
2021-07-12,99.94753777414856,100.0,101.31441969743278,100.0,100.02614853980813,100.05689932869888
2021-07-13,99.75227051379308,100.0,100.2523781326406,100.0,99.84415275424307,99.52471616267601
2021-07-14,99.78171877654556,100.0,99.28847035452324,100.0,100.30868264594015,101.35155879540784
2021-07-15,99.93590532145912,100.0,99.1612068306846,100.0,100.19909091320986,100.75959787304899
2021-07-19,101.06765075308246,100.0,101.05463974633253,100.0,100.68269127203484,101.56145122072188
2021-07-20,101.63921880605838,100.0,102.47960918398532,100.0,100.8856369791499,101.80142578143062
2021-07-21,101.5297422272779,100.0,102.05579538508556,100.0,100.6953768129317,101.15051325942449
2021-07-22,101.42415524353711,100.0,102.38505692237166,100.0,100.53513631186152,100.61567361390509
2021-07-23,100.66355814294386,100.0,99.98400252139363,100.0,100.29620612262269,100.42074508119936
2021-07-26,100.361517500087,100.0,99.01030524144254,100.0,100.45409857687702,101.35342193061362
2021-07-27,100.49044804136334,100.0,99.01818459657702,100.0,100.46274188949337,101.25915899709362
2021-07-28,100.58987005901628,100.0,99.61844819682152,100.0,100.85943206727865,102.74501035188818
2021-07-29,101.66092288093648,100.0,101.56990181845968,100.0,101.2130358073706,103.08802912819738
2021-07-30,101.4113360402112,100.0,101.5252521393643,100.0,100.89619249879757,102.07126052102416
2021-08-02,100.57217762887583,99.83935000000001,100.56206066625916,99.9,100.4794158833004,101.49540631980257
2021-08-03,99.8554184355456,99.81873869869624,100.45055585268948,102.14047178321262,101.22297813594047,102.95987820602257
2021-08-04,99.88854303518706,100.30820705248249,100.55680776283616,102.85578315020426,101.79352303802376,104.00556277618438
2021-08-05,100.3008256883542,100.65343187013409,101.25066855134476,103.74816160205691,102.04090554416388,103.3284143709207
2021-08-06,100.96130133863896,100.97957765313757,102.2520629584352,104.82141686685594,102.05870580255934,101.30728471252613
2021-08-09,100.16343570589412,100.38723731907847,101.32635811430318,106.12261612102125,101.90782243269713,100.776238728225
2021-08-10,101.52209927537425,102.78878730654255,103.75487087408312,106.56865896916295,102.89693018220112,100.50466869252055
2021-08-11,102.35296576445316,103.067707018747,104.28804057151592,105.95894218290171,103.14631979813635,101.01522049897147
2021-08-12,102.65680123621812,103.7418149129448,104.45517840770172,104.72847759209367,102.84558259043132,100.0603293983432
2021-08-13,102.89471332500312,104.76522042272987,105.10438951711492,105.01483560856528,103.70089809852378,101.94508407847138
2021-08-16,102.45188941587512,103.32624298938136,103.37260276589242,104.4942432173197,103.25438243533667,102.58408355566502
2021-08-17,102.37056600671411,102.08809118758118,103.16177032396088,103.54263573675212,102.99644332971825,103.8572784965413
2021-08-18,102.68377518489164,102.16629607780565,103.66318383251834,101.9721642207073,102.83272659498653,104.40271277490588
2021-08-19,102.78726523934878,99.99246291588156,102.92133060819071,100.57276471001104,101.80011388427702,103.7672375582389
2021-08-20,102.7815461041816,100.95405978960032,103.80429591992666,102.47532030100224,102.4896058033796,103.63960520052487
2021-08-23,103.12437477604448,100.81073542130005,104.88496141503668,104.6244287850967,103.39435197916308,104.90834898347843
2021-08-24,102.94270328913898,100.43015839246227,104.3281536522005,104.84457667734169,103.2269653956864,104.57761064602201
2021-08-25,103.87683129413728,101.23021620948643,105.96371676344744,105.61706704061989,103.623505499694,103.63691747027825
2021-08-26,103.5769142568935,101.397449611975,106.10411254584352,104.83433853841375,103.46960532142964,103.94425960753448
2021-08-27,103.59733548572147,101.27790669080812,106.47205455378976,107.42841668915504,104.56541965937107,105.83222230074523
2021-08-30,103.79624928440217,101.26344309311136,107.60166755806846,106.36369840610274,104.09900010896732,104.8461421761987
2021-08-31,103.8498979026915,100.009568085182,107.24447012530564,105.6693114426399,103.65762183017209,104.99468517441109
2021-09-01,103.59829420520964,99.10526711899568,106.27459313875303,104.25077091368989,102.79991196475454,104.13283033380037
2021-09-02,103.09435504266598,99.46097697368454,105.95201711491444,103.01248062396849,102.23820608924801,103.22346367733908
2021-09-03,102.984695684422,99.668577791363,106.57544124388754,103.06492899395113,102.48498149134575,104.06410344553748
2021-09-06,103.29185652824702,99.51352936917675,106.39994651589242,103.06492899395113,102.5214534940114,104.06410344553748
