date,Sigma-6,Delta-12,Gamma-6,Conjunto AlphaData,Oro,Mercado chileno (canasta igual peso)
2021-07-08,100.0,100.0,100.0,100.0,99.9,100.0
2021-07-09,100.0,100.0,100.0,100.21684280910223,100.7665038651725,100.94917747353583
2021-07-12,99.98215,100.0,100.0,100.039264096271,100.05689932869888,100.03984312305735
2021-07-13,99.7868158429812,100.0,100.0,99.9060851257948,99.52471616267601,99.0203634861438
2021-07-14,99.81575423661361,100.0,100.0,100.36325295180374,101.35155879540784,98.2333356357631
2021-07-15,99.96768080318381,100.0,100.0,100.21511458284509,100.75959787304899,97.52293075098021
2021-07-19,100.40175670767006,100.0,100.0,100.41577858376422,101.56145122072188,100.1139305573924
2021-07-20,100.25706473950797,100.0,100.0,100.4758322776353,101.80142578143062,101.37371021345712
2021-07-21,100.18471875542693,100.0,100.0,100.31294125611223,101.15051325942449,101.20332334978943
2021-07-22,100.22016846425258,100.0,100.0,100.17909750097725,100.61567361390509,101.0564454164479
2021-07-23,100.14854576338642,100.0,100.0,100.13031658688672,100.42074508119936,99.5407404947706
2021-07-26,100.1123727713459,100.0,100.0,100.36371920185525,101.35342193061362,98.26744821442941
2021-07-27,100.18471875542694,100.0,100.0,100.34012987915256,101.25915899709362,97.78027049234964
2021-07-28,100.1123727713459,100.0,100.0,100.71196455252456,102.74501035188818,97.98618111079307
2021-07-29,100.13407656657022,100.0,100.0,100.79780508713647,103.08802912819738,99.22035951784389
2021-07-30,99.94163642554058,100.0,100.0,100.54335848874479,102.07126052102416,99.4046960029847
2021-08-02,99.9722468630293,99.83935000000001,99.9,100.30327507610025,101.49540631980257,98.86576526375943
2021-08-03,99.9722468630293,99.81873869869624,102.14047178321262,101.50088349315665,102.95987820602257,98.3239573460713
2021-08-04,99.9722468630293,100.30561884199744,102.8574059339357,102.21227467488599,104.00556277618438,98.20934934412327
2021-08-05,99.9722468630293,100.66580045345106,103.75420893698727,102.51945208293368,103.3284143709207,98.29363986506272
2021-08-06,99.9722468630293,101.01720105705735,104.80013759162001,102.54857888961669,101.30728471252613,98.5396170492357
2021-08-09,99.95440181696425,100.43458726631579,106.10447897865706,102.6899231335788,100.776238728225,97.73594841733933
2021-08-10,100.11820668950709,102.84243591319839,106.53552094167388,103.69341539197566,100.50466869252055,98.97448406788382
2021-08-11,100.38865155057131,103.07403635628293,105.94127726801695,103.68241260316896,101.01522049897147,99.92598613838403
2021-08-12,100.58087155406548,103.75985713312193,104.71365296142548,103.24298296353804,100.0603293983432,100.36097033537656
2021-08-13,100.55613400181552,104.78860565735117,104.9918503970282,104.19988618329549,101.94508407847138,101.16421202647669
2021-08-16,100.19942619986418,103.27243258499134,104.46224083306122,103.58590779724514,102.58408355566502,100.21191478047626
2021-08-17,100.06963465390682,102.00778047704249,103.52293207190802,103.06846582292195,103.8572784965413,100.17252421511537
2021-08-18,100.12861797213225,102.08634521589433,101.9626805121252,102.64413161012861,104.40271277490588,100.5685487974513
2021-08-19,100.09405675601374,99.97584038051235,100.57446168291229,101.16849055520719,103.7672375582389,100.0115141861218
2021-08-20,100.12672694369247,100.90706864155966,102.49879570567445,102.21371443109076,103.63960520052487,100.49496349096879
2021-08-23,100.33920376684458,100.8626171576892,104.65777173926712,103.3234076780783,104.90834898347843,101.02169762939985
2021-08-24,100.1632778897247,100.39932184386133,104.8333956691734,103.13349787054533,104.57761064602201,100.4157862063009
2021-08-25,100.79081858638305,101.25376827534545,105.61540641405533,103.51885075650846,103.63691747027825,101.47484400402311
2021-08-26,100.55856767662297,101.39369124636731,104.85030093874138,103.35881883427935,103.94425960753448,102.5887006266216
2021-08-27,100.50971254076131,101.28787959570403,107.42356987870747,104.75406845200105,105.83222230074523,102.84560995781568
2021-08-30,100.6256426746744,101.31735190990747,106.36270417353293,104.12236448982806,104.8461421761987,103.99161754218538
2021-08-31,100.48065012436537,100.12529934888609,105.6566584473327,103.443289943295,104.99468517441109,103.4735473865283
2021-09-01,100.17073268644104,99.3236098780811,104.25872227528932,102.40716963496969,104.13283033380037,102.78345781896601
2021-09-02,99.67084405393872,99.75833956165881,103.02525733774175,101.89875357982278,103.22346367733908,102.27054029250479
2021-09-03,99.78890510207034,99.90460237931843,103.12452788423185,102.19892096969134,104.06410344553748,102.3259604277362
2021-09-06,99.86203684155204,99.69367533472816,103.12452788423185,102.11720215996372,104.06410344553748,101.59854446719928
2021-09-07,99.5776130530576,98.99134759631058,103.07386939496334,101.36204247421006,102.17840017023596,100.70534941085265
2021-09-08,99.07893061007512,97.39595323961332,104.03320520240712,101.3596225050206,103.24806180131264,98.94183586125365
2021-09-09,99.35266790339227,98.8725177559875,104.84980035414432,102.56188844690605,104.58947009059371,98.9073254783673
2021-09-10,99.53637101003487,99.92662712774508,105.06589004363634,103.1305244669392,104.91796233300482,99.46932943731417
2021-09-13,99.77693690112937,98.84471385972923,104.04481698849918,102.25092042963931,104.57058694283236,98.67008459658594
