date,cdv,subyacente,cdv_clp,volumen
2025-02-28,AAPLCL.SN,AAPL,221600.0,5
2025-03-03,AAPLCL.SN,AAPL,221600.0,0
2025-03-04,AAPLCL.SN,AAPL,221600.0,0
2025-03-05,AAPLCL.SN,AAPL,221600.0,13
2025-03-06,AAPLCL.SN,AAPL,221600.0,0
2025-03-07,AAPLCL.SN,AAPL,221600.0,11
2025-03-10,AAPLCL.SN,AAPL,221600.0,4
2025-03-11,AAPLCL.SN,AAPL,221600.0,0
2025-03-12,AAPLCL.SN,AAPL,221600.0,1
2025-03-13,AAPLCL.SN,AAPL,221600.0,23
2025-03-14,AAPLCL.SN,AAPL,221600.0,15
2025-03-17,AAPLCL.SN,AAPL,221600.0,0
2025-03-18,AAPLCL.SN,AAPL,221600.0,0
2025-03-19,AAPLCL.SN,AAPL,221600.0,0
2025-03-20,AAPLCL.SN,AAPL,221600.0,25
2025-03-21,AAPLCL.SN,AAPL,221600.0,0
2025-03-24,AAPLCL.SN,AAPL,221600.0,0
2025-03-25,AAPLCL.SN,AAPL,221600.0,7
2025-03-26,AAPLCL.SN,AAPL,221600.0,6
2025-03-27,AAPLCL.SN,AAPL,221600.0,12
2025-03-28,AAPLCL.SN,AAPL,221600.0,2
2025-03-31,AAPLCL.SN,AAPL,221600.0,0
2025-04-01,AAPLCL.SN,AAPL,221600.0,31
2025-04-02,AAPLCL.SN,AAPL,221600.0,23
2025-04-03,AAPLCL.SN,AAPL,221600.0,31
2025-04-04,AAPLCL.SN,AAPL,221600.0,27
2025-04-07,AAPLCL.SN,AAPL,221600.0,7
2025-04-08,AAPLCL.SN,AAPL,183341.0,78
2025-04-09,AAPLCL.SN,AAPL,183341.0,18
2025-04-10,AAPLCL.SN,AAPL,183341.0,32
2025-04-11,AAPLCL.SN,AAPL,183341.0,0
2025-04-14,AAPLCL.SN,AAPL,183341.0,16
2025-04-15,AAPLCL.SN,AAPL,183341.0,9
2025-04-16,AAPLCL.SN,AAPL,183341.0,10
2025-04-17,AAPLCL.SN,AAPL,183341.0,0
2025-04-21,AAPLCL.SN,AAPL,183341.0,11
2025-04-22,AAPLCL.SN,AAPL,183341.0,0
2025-04-23,AAPLCL.SN,AAPL,194274.0,106
2025-04-24,AAPLCL.SN,AAPL,194274.0,26
2025-04-25,AAPLCL.SN,AAPL,196766.0,66
2025-04-28,AAPLCL.SN,AAPL,196766.0,5
2025-04-29,AAPLCL.SN,AAPL,196766.0,10
2025-04-30,AAPLCL.SN,AAPL,196766.0,13
2025-05-02,AAPLCL.SN,AAPL,196766.0,4
2025-05-05,AAPLCL.SN,AAPL,196766.0,35
2025-05-06,AAPLCL.SN,AAPL,196766.0,0
2025-05-07,AAPLCL.SN,AAPL,185623.0,74
2025-05-08,AAPLCL.SN,AAPL,183761.0,102
2025-05-09,AAPLCL.SN,AAPL,185080.0,54
2025-05-12,AAPLCL.SN,AAPL,185080.0,13
2025-05-13,AAPLCL.SN,AAPL,185080.0,0
2025-05-14,AAPLCL.SN,AAPL,185080.0,14
2025-05-15,AAPLCL.SN,AAPL,185080.0,4
2025-05-16,AAPLCL.SN,AAPL,185080.0,6
2025-05-19,AAPLCL.SN,AAPL,185080.0,0
2025-05-20,AAPLCL.SN,AAPL,185080.0,23
2025-05-22,AAPLCL.SN,AAPL,185080.0,0
2025-05-23,AAPLCL.SN,AAPL,186124.0,43
2025-05-26,AAPLCL.SN,AAPL,186124.0,0
2025-05-27,AAPLCL.SN,AAPL,186124.0,37
2025-05-28,AAPLCL.SN,AAPL,186124.0,21
2025-05-29,AAPLCL.SN,AAPL,186124.0,33
2025-05-30,AAPLCL.SN,AAPL,186124.0,20
2025-06-02,AAPLCL.SN,AAPL,186124.0,38
