published_at,available_at,broker,ticker,recommendation,target_price_min,target_price_max,currency,source_url,notes
2021-09-20,2021-09-20,Credicorp Capital,HITES,Comprar,,,,,"Histórico validado, página 36"
2021-09-22,2021-09-22,Credicorp Capital,BSANTANDER,Comprar,,,,,"Histórico validado, página 35"
2021-09-22,2021-09-22,Credicorp Capital,COLBUN,Mantener,,,,,"Histórico validado, página 35"
2021-09-22,2021-09-22,Credicorp Capital,ITAUCL,Inferior al mercado,,,,,"Histórico validado, página 35"
2021-09-23,2021-09-23,Credicorp Capital,ITAUCL,Inferior al mercado,,,,,"Histórico validado, página 34"
2021-09-24,2021-09-24,Credicorp Capital,PARAUCO,Mantener,,,,,"Histórico validado, página 34"
2021-09-27,2021-09-27,Credicorp Capital,CENCOSUD,Comprar,,,,,"Histórico validado, página 33"
2021-09-28,2021-09-28,Credicorp Capital,ILC,Mantener,,,,,"Histórico validado, página 33"
2021-09-30,2021-09-30,Credicorp Capital,ENTEL,Comprar,,,,,"Histórico validado, página 31"
2021-10-01,2021-10-01,Credicorp Capital,CENCOSHOPP,Comprar,,,,,"Histórico validado, página 31"
2021-10-05,2021-10-05,Credicorp Capital,ITAUCL,Inferior al mercado,,,,,"Histórico validado, página 30"
2021-10-06,2021-10-06,Credicorp Capital,ANDINA-B,Comprar,,,,,"Histórico validado, página 29"
2021-10-06,2021-10-06,Credicorp Capital,BCI,Comprar,,,,,"Histórico validado, página 29"
2021-10-06,2021-10-06,Credicorp Capital,BSANTANDER,Comprar,,,,,"Histórico validado, página 29"
2021-10-06,2021-10-06,Credicorp Capital,CENCOSUD,Comprar,,,,,"Histórico validado, página 29"
2021-10-06,2021-10-06,Credicorp Capital,CMPC,Comprar,,,,,"Histórico validado, página 29"
2021-10-06,2021-10-06,Credicorp Capital,CONCHATORO,Comprar,,,,,"Histórico validado, página 29"
2021-10-06,2021-10-06,Credicorp Capital,ENELAM,Mantener,,,,,"Histórico validado, página 29"
2021-10-06,2021-10-06,Credicorp Capital,FALABELLA,Mantener,,,,,"Histórico validado, página 29"
2021-10-06,2021-10-06,Credicorp Capital,MALLPLAZA,Comprar,,,,,"Histórico validado, página 29"
2021-10-06,2021-10-06,Credicorp Capital,SMSAAM,Comprar,,,,,"Histórico validado, página 29"
2021-10-07,2021-10-07,Credicorp Capital,CCU,Inferior al mercado,,,,,"Histórico validado, página 27"
2021-10-07,2021-10-07,Credicorp Capital,ENTEL,Comprar,,,,,"Histórico validado, página 27"
2021-10-08,2021-10-08,Credicorp Capital,ANDINA-B,Comprar,,,,,"Histórico validado, página 27"
2021-10-08,2021-10-08,Credicorp Capital,CMPC,Comprar,,,,,"Histórico validado, página 27"
2021-10-08,2021-10-08,Credicorp Capital,FALABELLA,Mantener,,,,,"Histórico validado, página 27"
2021-10-08,2021-10-08,Credicorp Capital,MALLPLAZA,Comprar,,,,,"Histórico validado, página 27"
2021-10-12,2021-10-12,Credicorp Capital,CENCOSUD,Comprar,,,,,"Histórico validado, página 26"
2021-10-14,2021-10-14,Credicorp Capital,CENCOSHOPP,Comprar,,,,,"Histórico validado, página 25"
2021-10-15,2021-10-15,Credicorp Capital,BSANTANDER,Comprar,,,,,"Histórico validado, página 25"
2021-10-15,2021-10-15,Credicorp Capital,CCU,Inferior al mercado,,,,,"Histórico validado, página 25"
2021-10-15,2021-10-15,Credicorp Capital,CHILE,Comprar,,,,,"Histórico validado, página 25"
2021-10-19,2021-10-19,Credicorp Capital,ITAUCL,Inferior al mercado,,,,,"Histórico validado, página 25"
2021-10-20,2021-10-20,Credicorp Capital,ITAUCL,Inferior al mercado,,,,,"Histórico validado, página 23"
2021-10-21,2021-10-21,Credicorp Capital,EMBONOR-B,Comprar,,,,,"Histórico validado, página 23"
2021-10-25,2021-10-25,Credicorp Capital,AGUAS-A,Mantener,,,,,"Histórico validado, página 22"
2021-10-25,2021-10-25,Credicorp Capital,CENCOSUD,Comprar,,,,,"Histórico validado, página 22"
2021-10-26,2021-10-26,Credicorp Capital,CENCOSUD,Comprar,,,,,"Histórico validado, página 22"
2021-10-26,2021-10-26,Credicorp Capital,COPEC,Comprar,,,,,"Histórico validado, página 21"
2021-10-26,2021-10-26,Credicorp Capital,SQM-B,Mantener,,,,,"Histórico validado, página 22"
2021-10-28,2021-10-28,Credicorp Capital,COLBUN,Mantener,,,,,"Histórico validado, página 21"
2021-10-28,2021-10-28,Credicorp Capital,ECL,Comprar,,,,,"Histórico validado, página 21"
2021-10-28,2021-10-28,Credicorp Capital,ENELAM,Mantener,,,,,"Histórico validado, página 21"
2021-10-29,2021-10-29,Credicorp Capital,BESALCO,Mantener,,,,,"Histórico validado, página 21"
2021-11-03,2021-11-03,Credicorp Capital,ANDINA-B,Comprar,,,,,"Histórico validado, página 60"
2021-11-03,2021-11-03,Credicorp Capital,CENCOSUD,Comprar,,,,,"Histórico validado, página 60"
2021-11-03,2021-11-03,Credicorp Capital,CMPC,Comprar,,,,,"Histórico validado, página 60"
2021-11-03,2021-11-03,Credicorp Capital,ENELAM,Mantener,,,,,"Histórico validado, página 60"
2021-11-03,2021-11-03,Credicorp Capital,FALABELLA,Mantener,,,,,"Histórico validado, página 60"
2021-11-05,2021-11-05,Credicorp Capital,CCU,Inferior al mercado,,,,,"Histórico validado, página 59"
2021-11-05,2021-11-05,Credicorp Capital,CMPC,Comprar,,,,,"Histórico validado, página 59"
2021-11-05,2021-11-05,Credicorp Capital,CONCHATORO,Comprar,,,,,"Histórico validado, página 59"
2021-11-08,2021-11-08,Credicorp Capital,CAP,Comprar,,,,,"Histórico validado, página 58"
2021-11-08,2021-11-08,Credicorp Capital,CHILE,Comprar,,,,,"Histórico validado, página 58"
2021-11-08,2021-11-08,Credicorp Capital,CMPC,Comprar,,,,,"Histórico validado, página 58"
2021-11-08,2021-11-08,Credicorp Capital,ITAUCL,Inferior al mercado,,,,,"Histórico validado, página 59"
2021-11-08,2021-11-08,Credicorp Capital,SMSAAM,Comprar,,,,,"Histórico validado, página 58"
2021-11-09,2021-11-09,Credicorp Capital,CONCHATORO,Comprar,,,,,"Histórico validado, página 57"
2021-11-09,2021-11-09,Credicorp Capital,ENTEL,Comprar,,,,,"Histórico validado, página 57"
2021-11-10,2021-11-10,Credicorp Capital,FALABELLA,Mantener,,,,,"Histórico validado, página 57"
2021-11-10,2021-11-10,Credicorp Capital,MALLPLAZA,Comprar,,,,,"Histórico validado, página 57"
2021-11-12,2021-11-12,Credicorp Capital,CENCOSHOPP,Comprar,,,,,"Histórico validado, página 55"
2021-11-12,2021-11-12,Credicorp Capital,CENCOSUD,Comprar,,,,,"Histórico validado, página 56"
2021-11-12,2021-11-12,Credicorp Capital,HITES,Comprar,,,,,"Histórico validado, página 56"
2021-11-16,2021-11-16,Credicorp Capital,SMU,Comprar,,,,,"Histórico validado, página 55"
2021-11-18,2021-11-18,Credicorp Capital,SQM-B,Mantener,,,,,"Histórico validado, página 54"
2021-11-23,2021-11-23,Credicorp Capital,CMPC,Comprar,,,,,"Histórico validado, página 53"
2021-11-24,2021-11-24,Credicorp Capital,INDISA,Comprar,,,,,"Histórico validado, página 53"
2021-11-29,2021-11-29,Credicorp Capital,FORUS,Comprar,,,,,"Histórico validado, página 52"
2021-11-29,2021-11-29,Credicorp Capital,RIPLEY,Mantener,,,,,"Histórico validado, página 52"
2021-12-01,2021-12-01,Credicorp Capital,ENELAM,Mantener,,,,,"Histórico validado, página 51"
2021-12-02,2021-12-02,Credicorp Capital,COLBUN,Mantener,,,,,"Histórico validado, página 51"
2021-12-06,2021-12-06,Credicorp Capital,CMPC,Comprar,,,,,"Histórico validado, página 50"
2021-12-07,2021-12-07,Credicorp Capital,AESANDES,Mantener,,,,,"Histórico validado, página 49"
2021-12-07,2021-12-07,Credicorp Capital,BESALCO,Comprar,,,,,"Histórico validado, página 50"
2021-12-07,2021-12-07,Credicorp Capital,MALLPLAZA,Comprar,,,,,"Histórico validado, página 49"
2021-12-07,2021-12-07,Credicorp Capital,PARAUCO,Comprar,,,,,"Histórico validado, página 49"
2021-12-09,2021-12-09,Credicorp Capital,CENCOSUD,Comprar,,,,,"Histórico validado, página 49"
2021-12-10,2021-12-10,Credicorp Capital,CONCHATORO,Comprar,,,,,"Histórico validado, página 49"
2021-12-15,2021-12-15,Credicorp Capital,BSANTANDER,Comprar,,,,,"Histórico validado, página 47"
2021-12-15,2021-12-15,Credicorp Capital,CHILE,Comprar,,,,,"Histórico validado, página 47"
2021-12-15,2021-12-15,Credicorp Capital,ITAUCL,Comprar,,,,,"Histórico validado, página 47"
2021-12-16,2021-12-16,Credicorp Capital,RIPLEY,Mantener,,,,,"Histórico validado, página 47"
2021-12-21,2021-12-21,Credicorp Capital,CHILE,Comprar,,,,,"Histórico validado, página 46"
2021-12-21,2021-12-21,Credicorp Capital,ITAUCL,Comprar,,,,,"Histórico validado, página 46"
2021-12-24,2021-12-24,Credicorp Capital,ANDINA-B,Comprar,,,,,"Histórico validado, página 45"
2021-12-24,2021-12-24,Credicorp Capital,CENCOSUD,Comprar,,,,,"Histórico validado, página 44"
2021-12-24,2021-12-24,Credicorp Capital,PARAUCO,Mantener,,,,,"Histórico validado, página 45"
2021-12-24,2021-12-24,Credicorp Capital,SQM-B,Mantener,,,,,"Histórico validado, página 45"
2021-12-28,2021-12-28,Credicorp Capital,ENELCHILE,Mantener,,,,,"Histórico validado, página 44"
2021-12-28,2021-12-28,Credicorp Capital,FALABELLA,Mantener,,,,,"Histórico validado, página 44"
2021-12-29,2021-12-29,Credicorp Capital,ENELCHILE,Mantener,,,,,"Histórico validado, página 44"
2021-12-29,2021-12-29,Credicorp Capital,SMU,Comprar,,,,,"Histórico validado, página 44"
2021-12-30,2021-12-30,Credicorp Capital,AESANDES,Mantener,,,,,"Histórico validado, página 43"
2022-01-05,2022-01-05,Credicorp Capital,CAP,Comprar,,,,,"Histórico validado, página 43"
2022-01-05,2022-01-05,Credicorp Capital,CENCOSHOPP,Comprar,,,,,"Histórico validado, página 42"
2022-01-05,2022-01-05,Credicorp Capital,SMU,Comprar,,,,,"Histórico validado, página 43"
2022-01-26,2022-01-26,Credicorp Capital,AESANDES,Mantener,,,,,"Histórico validado, página 79"
2022-01-26,2022-01-26,Credicorp Capital,ENELCHILE,Mantener,,,,,"Histórico validado, página 79"
2022-01-27,2022-01-27,Credicorp Capital,COLBUN,Mantener,,,,,"Histórico validado, página 79"
2022-01-27,2022-01-27,Credicorp Capital,ECL,Comprar,,,,,"Histórico validado, página 79"
2022-01-27,2022-01-27,Credicorp Capital,ENTEL,Comprar,,,,,"Histórico validado, página 79"
2022-01-28,2022-01-28,Credicorp Capital,CAP,Comprar,,,,,"Histórico validado, página 78"
2022-01-31,2022-01-31,Credicorp Capital,COLBUN,Mantener,,,,,"Histórico validado, página 78"
2022-01-31,2022-01-31,Credicorp Capital,FALABELLA,Mantener,,,,,"Histórico validado, página 78"
2022-02-01,2022-02-01,Credicorp Capital,BESALCO,Comprar,,,,,"Histórico validado, página 77"
2022-02-02,2022-02-02,Credicorp Capital,BCI,Comprar,,,,,"Histórico validado, página 77"
2022-02-02,2022-02-02,Credicorp Capital,BSANTANDER,Comprar,,,,,"Histórico validado, página 76"
2022-02-02,2022-02-02,Credicorp Capital,CAP,Comprar,,,,,"Histórico validado, página 77"
2022-02-02,2022-02-02,Credicorp Capital,CENCOSHOPP,Comprar,,,,,"Histórico validado, página 77"
2022-02-02,2022-02-02,Credicorp Capital,CENCOSUD,Comprar,,,,,"Histórico validado, página 77"
2022-02-02,2022-02-02,Credicorp Capital,CMPC,Comprar,,,,,"Histórico validado, página 77"
2022-02-02,2022-02-02,Credicorp Capital,CONCHATORO,Comprar,,,,,"Histórico validado, página 77"
2022-02-02,2022-02-02,Credicorp Capital,ITAUCL,Comprar,,,,,"Histórico validado, página 76"
2022-02-02,2022-02-02,Credicorp Capital,QUINENCO,Comprar,,,,,"Histórico validado, página 76"
2022-02-02,2022-02-02,Credicorp Capital,SQM-B,Mantener,,,,,"Histórico validado, página 77"
2022-02-07,2022-02-07,Credicorp Capital,BESALCO,Comprar,,,,,"Histórico validado, página 75"
2022-02-07,2022-02-07,Credicorp Capital,CHILE,Comprar,,,,,"Histórico validado, página 75"
2022-02-07,2022-02-07,Credicorp Capital,ECL,Comprar,,,,,"Histórico validado, página 75"
2022-02-09,2022-02-09,Credicorp Capital,ANDINA-B,Mantener,,,,,"Histórico validado, página 75"
2022-02-09,2022-02-09,Credicorp Capital,CCU,Comprar,,,,,"Histórico validado, página 74"
2022-02-09,2022-02-09,Credicorp Capital,CONCHATORO,Comprar,,,,,"Histórico validado, página 74"
2022-02-09,2022-02-09,Credicorp Capital,EMBONOR-B,Comprar,,,,,"Histórico validado, página 74"
2022-02-09,2022-02-09,Credicorp Capital,ITAUCL,Comprar,,,,,"Histórico validado, página 74"
2022-02-10,2022-02-10,Credicorp Capital,CAP,Comprar,,,,,"Histórico validado, página 74"
2022-02-16,2022-02-16,Credicorp Capital,AGUAS-A,Mantener,,,,,"Histórico validado, página 72"
2022-02-16,2022-02-16,Credicorp Capital,BSANTANDER,Comprar,,,,,"Histórico validado, página 73"
2022-02-16,2022-02-16,Credicorp Capital,CHILE,Comprar,,,,,"Histórico validado, página 73"
2022-02-16,2022-02-16,Credicorp Capital,ITAUCL,Comprar,,,,,"Histórico validado, página 73"
2022-02-18,2022-02-18,Credicorp Capital,ITAUCL,Comprar,,,,,"Histórico validado, página 71"
2022-02-22,2022-02-22,Credicorp Capital,RIPLEY,Mantener,,,,,"Histórico validado, página 71"
2022-02-23,2022-02-23,Credicorp Capital,ANDINA-B,Mantener,,,,,"Histórico validado, página 70"
2022-02-23,2022-02-23,Credicorp Capital,ITAUCL,Comprar,,,,,"Histórico validado, página 70"
2022-02-24,2022-02-24,Credicorp Capital,ANDINA-B,Mantener,,,,,"Histórico validado, página 70"
2022-02-24,2022-02-24,Credicorp Capital,CCU,Comprar,,,,,"Histórico validado, página 70"
2022-02-25,2022-02-25,Credicorp Capital,AESANDES,Mantener,,,,,"Histórico validado, página 69"
2022-02-25,2022-02-25,Credicorp Capital,SALFACORP,Mantener,,,,,"Histórico validado, página 70"
2022-02-28,2022-02-28,Credicorp Capital,ENELAM,Mantener,,,,,"Histórico validado, página 69"
2022-03-01,2022-03-01,Credicorp Capital,ENELCHILE,Mantener,,,,,"Histórico validado, página 69"
2022-03-02,2022-03-02,Credicorp Capital,AESANDES,Mantener,,,,,"Histórico validado, página 68"
2022-03-02,2022-03-02,Credicorp Capital,FALABELLA,Mantener,,,,,"Histórico validado, página 68"
2022-03-02,2022-03-02,Credicorp Capital,ITAUCL,Comprar,,,,,"Histórico validado, página 68"
2022-03-02,2022-03-02,Credicorp Capital,MALLPLAZA,Comprar,,,,,"Histórico validado, página 68"
2022-03-03,2022-03-03,Credicorp Capital,FORUS,Comprar,,,,,"Histórico validado, página 68"
2022-03-03,2022-03-03,Credicorp Capital,SQM-B,Mantener,,,,,"Histórico validado, página 68"
2022-03-04,2022-03-04,Credicorp Capital,CENCOSUD,Comprar,,,,,"Histórico validado, página 67"
2022-03-07,2022-03-07,Credicorp Capital,COPEC,Comprar,,,,,"Histórico validado, página 67"
2022-03-07,2022-03-07,Credicorp Capital,EMBONOR-B,Comprar,,,,,"Histórico validado, página 67"
2022-03-09,2022-03-09,Credicorp Capital,RIPLEY,Mantener,,,,,"Histórico validado, página 65"
2022-03-09,2022-03-09,Credicorp Capital,SMSAAM,Comprar,,,,,"Histórico validado, página 66"
2022-03-14,2022-03-14,Credicorp Capital,SMSAAM,Comprar,,,,,"Histórico validado, página 64"
2022-03-15,2022-03-15,Credicorp Capital,CENCOSUD,Comprar,,,,,"Histórico validado, página 64"
2022-03-15,2022-03-15,Credicorp Capital,CONCHATORO,Comprar,,,,,"Histórico validado, página 64"
2022-03-16,2022-03-16,Credicorp Capital,HITES,Comprar,,,,,"Histórico validado, página 63"
2022-03-16,2022-03-16,Credicorp Capital,ITAUCL,Comprar,,,,,"Histórico validado, página 63"
2022-03-18,2022-03-18,Credicorp Capital,ENELCHILE,Mantener,,,,,"Histórico validado, página 63"
2022-03-18,2022-03-18,Credicorp Capital,FORUS,Comprar,,,,,"Histórico validado, página 62"
2022-03-21,2022-03-21,Credicorp Capital,CHILE,Comprar,,,,,"Histórico validado, página 62"
2022-03-21,2022-03-21,Credicorp Capital,ENELCHILE,Mantener,,,,,"Histórico validado, página 62"
2022-03-24,2022-03-24,Credicorp Capital,BSANTANDER,Comprar,,,,,"Histórico validado, página 61"
2022-03-24,2022-03-24,Credicorp Capital,ENELCHILE,Mantener,,,,,"Histórico validado, página 61"
2022-03-24,2022-03-24,Credicorp Capital,INDISA,Comprar,,,,,"Histórico validado, página 61"
2022-03-29,2022-03-29,Credicorp Capital,FALABELLA,Mantener,,,,,"Histórico validado, página 99"
2022-03-29,2022-03-29,Credicorp Capital,MALLPLAZA,Comprar,,,,,"Histórico validado, página 98"
2022-03-29,2022-03-29,Credicorp Capital,SMU,Comprar,,,,,"Histórico validado, página 98"
2022-03-30,2022-03-30,Credicorp Capital,ECL,Comprar,,,,,"Histórico validado, página 98"
2022-03-30,2022-03-30,Credicorp Capital,ILC,Mantener,,,,,"Histórico validado, página 98"
2022-04-01,2022-04-01,Credicorp Capital,MALLPLAZA,Comprar,,,,,"Histórico validado, página 98"
2022-04-05,2022-04-05,Credicorp Capital,BCI,Comprar,,,,,"Histórico validado, página 97"
2022-04-05,2022-04-05,Credicorp Capital,BSANTANDER,Comprar,,,,,"Histórico validado, página 97"
2022-04-05,2022-04-05,Credicorp Capital,CHILE,Comprar,,,,,"Histórico validado, página 97"
2022-04-05,2022-04-05,Credicorp Capital,FALABELLA,Mantener,,,,,"Histórico validado, página 97"
2022-04-05,2022-04-05,Credicorp Capital,ITAUCL,Comprar,,,,,"Histórico validado, página 97"
2022-04-07,2022-04-07,Credicorp Capital,BCI,Comprar,,,,,"Histórico validado, página 96"
2022-04-07,2022-04-07,Credicorp Capital,CCU,Comprar,,,,,"Histórico validado, página 96"
2022-04-07,2022-04-07,Credicorp Capital,CENCOSUD,Comprar,,,,,"Histórico validado, página 96"
2022-04-07,2022-04-07,Credicorp Capital,COPEC,Comprar,,,,,"Histórico validado, página 96"
2022-04-08,2022-04-08,Credicorp Capital,CMPC,Comprar,,,,,"Histórico validado, página 96"
2022-04-08,2022-04-08,Credicorp Capital,ITAUCL,Comprar,,,,,"Histórico validado, página 96"
2022-04-08,2022-04-08,Credicorp Capital,MALLPLAZA,Comprar,,,,,"Histórico validado, página 96"
2022-04-14,2022-04-14,Credicorp Capital,FALABELLA,Mantener,,,,,"Histórico validado, página 94"
2022-04-19,2022-04-19,Credicorp Capital,BSANTANDER,Comprar,,,,,"Histórico validado, página 94"
2022-04-19,2022-04-19,Credicorp Capital,ITAUCL,Comprar,,,,,"Histórico validado, página 94"
2022-04-26,2022-04-26,Credicorp Capital,ENELAM,Mantener,,,,,"Histórico validado, página 92"
2022-04-26,2022-04-26,Credicorp Capital,ENELCHILE,Mantener,,,,,"Histórico validado, página 91"
2022-04-28,2022-04-28,Credicorp Capital,COLBUN,Mantener,,,,,"Histórico validado, página 90"
2022-04-28,2022-04-28,Credicorp Capital,ECL,Comprar,,,,,"Histórico validado, página 90"
2022-04-28,2022-04-28,Credicorp Capital,PARAUCO,Mantener,,,,,"Histórico validado, página 90"
2022-04-29,2022-04-29,Credicorp Capital,CCU,Comprar,,,,,"Histórico validado, página 90"
2022-05-03,2022-05-03,Credicorp Capital,ENELAM,Mantener,,,,,"Histórico validado, página 89"
2022-05-04,2022-05-04,Credicorp Capital,CENCOSUD,Comprar,,,,,"Histórico validado, página 89"
2022-05-04,2022-05-04,Credicorp Capital,CHILE,Comprar,,,,,"Histórico validado, página 89"
2022-05-04,2022-05-04,Credicorp Capital,CMPC,Comprar,,,,,"Histórico validado, página 89"
2022-05-04,2022-05-04,Credicorp Capital,COPEC,Comprar,,,,,"Histórico validado, página 89"
2022-05-04,2022-05-04,Credicorp Capital,SMU,Comprar,,,,,"Histórico validado, página 88"
2022-05-05,2022-05-05,Credicorp Capital,BCI,Comprar,,,,,"Histórico validado, página 88"
2022-05-05,2022-05-05,Credicorp Capital,CCU,Comprar,,,,,"Histórico validado, página 88"
2022-05-05,2022-05-05,Credicorp Capital,CHILE,Comprar,,,,,"Histórico validado, página 88"
2022-05-05,2022-05-05,Credicorp Capital,PARAUCO,Mantener,,,,,"Histórico validado, página 88"
2022-05-06,2022-05-06,Credicorp Capital,CMPC,Comprar,,,,,"Histórico validado, página 88"
2022-05-09,2022-05-09,Credicorp Capital,CAP,Comprar,,,,,"Histórico validado, página 87"
2022-05-10,2022-05-10,Credicorp Capital,CENCOSHOPP,Comprar,,,,,"Histórico validado, página 87"
2022-05-10,2022-05-10,Credicorp Capital,SMSAAM,Comprar,,,,,"Histórico validado, página 87"
2022-05-11,2022-05-11,Credicorp Capital,CENCOSUD,Comprar,,,,,"Histórico validado, página 86"
2022-05-11,2022-05-11,Credicorp Capital,MALLPLAZA,Comprar,,,,,"Histórico validado, página 86"
2022-05-12,2022-05-12,Credicorp Capital,COPEC,Comprar,,,,,"Histórico validado, página 86"
2022-05-12,2022-05-12,Credicorp Capital,ENTEL,Comprar,,,,,"Histórico validado, página 86"
2022-05-16,2022-05-16,Credicorp Capital,COPEC,Comprar,,,,,"Histórico validado, página 85"
2022-05-17,2022-05-17,Credicorp Capital,CONCHATORO,Comprar,,,,,"Histórico validado, página 85"
2022-05-17,2022-05-17,Credicorp Capital,SMU,Comprar,,,,,"Histórico validado, página 85"
2022-05-18,2022-05-18,Credicorp Capital,CONCHATORO,Comprar,,,,,"Histórico validado, página 84"
2022-05-19,2022-05-19,Credicorp Capital,SQM-B,Mantener,,,,,"Histórico validado, página 83"
2022-05-23,2022-05-23,Credicorp Capital,ECL,Comprar,,,,,"Histórico validado, página 82"
2022-05-23,2022-05-23,Credicorp Capital,FORUS,Comprar,,,,,"Histórico validado, página 82"
2022-05-23,2022-05-23,Credicorp Capital,HITES,Comprar,,,,,"Histórico validado, página 82"
2022-05-25,2022-05-25,Credicorp Capital,ILC,Mantener,,,,,"Histórico validado, página 82"
2022-05-25,2022-05-25,Credicorp Capital,RIPLEY,Mantener,,,,,"Histórico validado, página 82"
2022-05-26,2022-05-26,Credicorp Capital,INDISA,Comprar,,,,,"Histórico validado, página 81"
2022-05-31,2022-05-31,Credicorp Capital,AGUAS-A,Mantener,,,,,"Histórico validado, página 120"
2022-05-31,2022-05-31,Credicorp Capital,SMU,Comprar,,,,,"Histórico validado, página 120"
2022-06-01,2022-06-01,Credicorp Capital,CAP,Comprar,,,,,"Histórico validado, página 119"
2022-06-01,2022-06-01,Credicorp Capital,PARAUCO,Mantener,,,,,"Histórico validado, página 119"
2022-06-06,2022-06-06,Credicorp Capital,CAP,Comprar,,,,,"Histórico validado, página 118"
2022-06-06,2022-06-06,Credicorp Capital,CENCOSUD,Comprar,,,,,"Histórico validado, página 118"
2022-06-06,2022-06-06,Credicorp Capital,CMPC,Comprar,,,,,"Histórico validado, página 118"
2022-06-09,2022-06-09,Credicorp Capital,SMU,Comprar,,,,,"Histórico validado, página 117"
2022-06-14,2022-06-14,Credicorp Capital,BSANTANDER,Comprar,,,,,"Histórico validado, página 115"
2022-06-14,2022-06-14,Credicorp Capital,CHILE,Comprar,,,,,"Histórico validado, página 115"
2022-06-15,2022-06-15,Credicorp Capital,ITAUCL,Comprar,,,,,"Histórico validado, página 115"
2022-06-17,2022-06-17,Credicorp Capital,BCI,Comprar,,,,,"Histórico validado, página 114"
2022-06-17,2022-06-17,Credicorp Capital,CENCOSUD,Comprar,,,,,"Histórico validado, página 114"
2022-06-23,2022-06-23,Credicorp Capital,CONCHATORO,Comprar,,,,,"Histórico validado, página 113"
2022-07-05,2022-07-05,Credicorp Capital,ECL,Comprar,,,,,"Histórico validado, página 110"
2022-07-05,2022-07-05,Credicorp Capital,ENELCHILE,Mantener,,,,,"Histórico validado, página 110"
2022-07-06,2022-07-06,Credicorp Capital,AGUAS-A,Mantener,,,,,"Histórico validado, página 110"
2022-07-06,2022-07-06,Credicorp Capital,ENTEL,Comprar,,,,,"Histórico validado, página 110"
2022-07-07,2022-07-07,Credicorp Capital,CENCOSUD,Comprar,,,,,"Histórico validado, página 109"
2022-07-08,2022-07-08,Credicorp Capital,COLBUN,Mantener,,,,,"Histórico validado, página 110"
2022-07-12,2022-07-12,Credicorp Capital,BSANTANDER,Mantener,,,,,"Histórico validado, página 108"
2022-07-12,2022-07-12,Credicorp Capital,CHILE,Mantener,,,,,"Histórico validado, página 108"
2022-07-19,2022-07-19,Credicorp Capital,ECL,Comprar,,,,,"Histórico validado, página 107"
2022-07-19,2022-07-19,Credicorp Capital,SMU,Comprar,,,,,"Histórico validado, página 107"
2022-07-22,2022-07-22,Credicorp Capital,PARAUCO,Mantener,,,,,"Histórico validado, página 105"
2022-07-25,2022-07-25,Credicorp Capital,CENCOSUD,Comprar,,,,,"Histórico validado, página 105"
2022-07-26,2022-07-26,Credicorp Capital,COLBUN,Mantener,,,,,"Histórico validado, página 105"
2022-07-26,2022-07-26,Credicorp Capital,ECL,Comprar,,,,,"Histórico validado, página 105"
2022-07-26,2022-07-26,Credicorp Capital,ENELCHILE,Mantener,,,,,"Histórico validado, página 105"
2022-07-28,2022-07-28,Credicorp Capital,ANDINA-B,Mantener,,,,,"Histórico validado, página 104"
2022-07-28,2022-07-28,Credicorp Capital,BSANTANDER,Mantener,,,,,"Histórico validado, página 104"
2022-07-28,2022-07-28,Credicorp Capital,COLBUN,Mantener,,,,,"Histórico validado, página 103"
2022-07-28,2022-07-28,Credicorp Capital,ECL,Comprar,,,,,"Histórico validado, página 103"
2022-07-28,2022-07-28,Credicorp Capital,ENELAM,Mantener,,,,,"Histórico validado, página 103"
2022-07-28,2022-07-28,Credicorp Capital,ITAUCL,Comprar,,,,,"Histórico validado, página 104"
2022-07-29,2022-07-29,Credicorp Capital,ENELCHILE,Mantener,,,,,"Histórico validado, página 103"
2022-08-01,2022-08-01,Credicorp Capital,BSANTANDER,Mantener,,,,,"Histórico validado, página 103"
2022-08-01,2022-08-01,Credicorp Capital,ENELAM,Mantener,,,,,"Histórico validado, página 102"
2022-08-01,2022-08-01,Credicorp Capital,SONDA,Mantener,,,,,"Histórico validado, página 103"
2022-08-02,2022-08-02,Credicorp Capital,ENTEL,Comprar,,,,,"Histórico validado, página 102"
2022-08-02,2022-08-02,Credicorp Capital,SMU,Comprar,,,,,"Histórico validado, página 102"
2022-08-04,2022-08-04,Credicorp Capital,CCU,Comprar,,,,,"Histórico validado, página 101"
2022-08-05,2022-08-05,Credicorp Capital,CMPC,Comprar,,,,,"Histórico validado, página 101"
2022-08-08,2022-08-08,Credicorp Capital,CAP,Comprar,,,,,"Histórico validado, página 140"
2022-08-12,2022-08-12,Credicorp Capital,CENCOSUD,Comprar,,,,,"Histórico validado, página 138"
2022-08-17,2022-08-17,Credicorp Capital,CONCHATORO,Comprar,,,,,"Histórico validado, página 138"
2022-08-17,2022-08-17,Credicorp Capital,SMU,Comprar,,,,,"Histórico validado, página 138"
2022-08-19,2022-08-19,Credicorp Capital,ENELCHILE,Comprar,,,,,"Histórico validado, página 137"
2022-08-19,2022-08-19,Credicorp Capital,MALLPLAZA,Comprar,,,,,"Histórico validado, página 137"
2022-08-22,2022-08-22,Credicorp Capital,COPEC,Comprar,,,,,"Histórico validado, página 136"
2022-08-29,2022-08-29,Credicorp Capital,AGUAS-A,Mantener,,,,,"Histórico validado, página 136"
2022-08-29,2022-08-29,Credicorp Capital,FORUS,Comprar,,,,,"Histórico validado, página 135"
