date,gross_return,transaction_cost,net_return,equity,universe_equal_weight_return,universe_equal_weight_equity,turnover,positions,position_count,cash_weight,weight_BSANTANDER,weight_CENCOSUD,weight_FALABELLA,weight_SQM-B
2021-01-08,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,0,1.0,0.0,0.0,0.0,0.0
2021-01-15,0.0,0.0,0.0,1.0,-0.007172311518164831,0.9928276884818352,0.0,,0,1.0,0.0,0.0,0.0,0.0
2021-01-22,0.0,0.0,0.0,1.0,-0.0274117771704028,0.9656125171165651,0.0,,0,1.0,0.0,0.0,0.0,0.0
2021-01-29,0.0,0.0,0.0,1.0,-0.061615245295721016,0.9061160650138094,0.0,,0,1.0,0.0,0.0,0.0,0.0
2021-02-05,0.0,0.0,0.0,1.0,0.04095845593085207,0.9432291799309145,0.0,,0,1.0,0.0,0.0,0.0,0.0
2021-02-12,0.0,0.0,0.0,1.0,0.05614493727550035,0.9961867230745572,0.0,,0,1.0,0.0,0.0,0.0,0.0
2021-02-19,0.0,0.0,0.0,1.0,0.012395608867995428,1.0085350640532795,0.0,,0,1.0,0.0,0.0,0.0,0.0
2021-02-26,0.0,0.0,0.0,1.0,0.002173930824615894,1.010727549516731,0.0,,0,1.0,0.0,0.0,0.0,0.0
2021-03-05,0.0,0.0,0.0,1.0,0.03469157163496056,1.0457912767042188,0.0,,0,1.0,0.0,0.0,0.0,0.0
2021-03-12,0.0,0.0,0.0,1.0,0.03543214438426068,1.082845904216203,0.0,,0,1.0,0.0,0.0,0.0,0.0
2021-03-19,0.0,0.0,0.0,1.0,-0.02882907022648687,1.0516284635990905,0.0,,0,1.0,0.0,0.0,0.0,0.0
2021-03-26,0.0,0.0,0.0,1.0,0.018121383741663777,1.070685426541626,0.0,,0,1.0,0.0,0.0,0.0,0.0
2021-04-01,0.0,0.0,0.0,1.0,0.00419012660956497,1.0751717340378515,0.0,,0,1.0,0.0,0.0,0.0,0.0
2021-04-09,0.0,0.0,0.0,1.0,0.02364196212449421,1.1005909034513013,0.0,,0,1.0,0.0,0.0,0.0,0.0
2021-04-16,0.0,0.0,0.0,1.0,0.021927522436526903,1.1247241351801671,0.0,,0,1.0,0.0,0.0,0.0,0.0
2021-04-23,0.0,0.0,0.0,1.0,-0.026049811247091242,1.0954252837536758,0.0,,0,1.0,0.0,0.0,0.0,0.0
2021-04-30,0.0,0.0,0.0,1.0,-0.06664969632562029,1.0224155212440869,0.0,,0,1.0,0.0,0.0,0.0,0.0
2021-05-07,0.0,0.0,0.0,1.0,0.02826965156613881,1.0513188517854692,0.0,,0,1.0,0.0,0.0,0.0,0.0
2021-05-14,0.0,0.0,0.0,1.0,0.0004532895358972666,1.0517954036198751,0.0,,0,1.0,0.0,0.0,0.0,0.0
2021-05-20,0.0,0.0,0.0,1.0,-0.1475467457053449,0.8966064146679228,0.0,,0,1.0,0.0,0.0,0.0,0.0
2021-05-28,0.0,0.0,0.0,1.0,0.07702017422872964,0.9656631969402429,0.0,,0,1.0,0.0,0.0,0.0,0.0
2021-06-04,0.0,0.0,0.0,1.0,0.012849192530149794,0.978071189277008,0.0,,0,1.0,0.0,0.0,0.0,0.0
2021-06-11,0.0,0.0,0.0,1.0,0.013925909749633286,0.9916917203875961,0.0,,0,1.0,0.0,0.0,0.0,0.0
2021-06-18,0.0,0.0,0.0,1.0,-0.007711522467428539,0.9840442674050642,0.0,,0,1.0,0.0,0.0,0.0,0.0
2021-06-25,0.0,0.0,0.0,1.0,0.008088959997519796,0.9920041621198925,0.0,,0,1.0,0.0,0.0,0.0,0.0
2021-07-02,0.0,0.0,0.0,1.0,-0.01922407161175324,0.9729338030681425,0.0,,0,1.0,0.0,0.0,0.0,0.0
2021-07-09,0.0,0.0,0.0,1.0,-0.0015746450387862376,0.9714017776820738,0.0,,0,1.0,0.0,0.0,0.0,0.0
2021-07-15,0.0,0.002,-0.002,0.998,-0.010477884121779135,0.9612235424198308,1.0,CENCOSUD,1,0.0,0.0,1.0,0.0,0.0
2021-07-23,0.018115942028985588,0.001,0.017115942028985587,1.0150817101449274,-0.0030637159430210448,0.958278626528112,0.5,BSANTANDER|CENCOSUD,2,0.0,0.5,0.5,0.0,0.0
