alphadata_ticker,fecha_ex,monto,fecha_declarada,tamano,caida_esperada,caida_observada,error,origen
ITAUCL,2025-04-24,522.26904,2025-05-02,1.314262080477026,-0.0393371445098721,,,fecha por convención (5 ruedas antes de la declarada)
ITAUCL,2026-04-08,1187.2706,2026-04-15,1.9722302723759704,-0.0590307735296135,-0.05574,0.0032907735296135027,confirmada por contraste entre fuentes
LTM,2025-04-08,0.465115,2025-04-15,0.8141432307440519,-0.032639649122807,,,fecha por convención (5 ruedas antes de la declarada)
LTM,2025-12-11,0.668423,2025-12-18,0.7008293447006332,-0.0280968053804119,,,fecha por convención (5 ruedas antes de la declarada)
LTM,2026-04-30,0.058739,2026-05-08,0.0627741775959893,-0.0025166666666666,,,fecha por convención (5 ruedas antes de la declarada)
MALLPLAZA,2024-12-05,22.0,2024-12-12,0.3624139640402505,-0.013174441390717,,,fecha por convención (5 ruedas antes de la declarada)
MALLPLAZA,2025-04-17,21.53,2025-04-25,0.2706301295528677,-0.0098379232980118,,,fecha por convención (5 ruedas antes de la declarada)
MALLPLAZA,2025-09-04,28.0,2025-09-11,0.3226711461828297,-0.011729713878765,,,fecha por convención (5 ruedas antes de la declarada)
MALLPLAZA,2026-03-23,40.0,2026-03-30,0.28880700901876,-0.0104986876640419,-0.010389,0.00010968766404189853,confirmada por contraste entre fuentes
MALLPLAZA,2026-09-03,30.0,2026-09-10,0.2084005121896734,-0.0075757575757575,,,fecha por convención (5 ruedas antes de la declarada)
PARAUCO,2025-05-05,39.455154,2025-05-12,0.5443100740347688,-0.019397814159292,,,fecha por convención (5 ruedas antes de la declarada)
PARAUCO,2025-08-01,9.863788,2025-08-08,0.1337174059696067,-0.0047653451857577,,,fecha por convención (5 ruedas antes de la declarada)
PARAUCO,2026-04-17,44.387047,2026-04-24,0.2893188134342815,-0.0103105800232288,-0.010344,3.341997677120019e-05,confirmada por contraste entre fuentes
QUINENCO,2024-12-09,120.28198,2024-12-16,1.2729961235559042,-0.0380639177215189,,,fecha por convención (5 ruedas antes de la declarada)
QUINENCO,2025-05-05,240.564,2025-05-12,2.1366259556968337,-0.0602177791385622,-0.0520288135935038,0.0081889655450584,confirmada por el precio
QUINENCO,2025-12-04,60.141,2025-12-12,0.4298503381286711,-0.0128529754335723,,,fecha por convención (5 ruedas antes de la declarada)
QUINENCO,2026-05-04,349.03888,2026-05-11,2.932240498993073,-0.0793270181818181,-0.08715,0.0078229818181818,confirmada por el precio
RIPLEY,2025-05-16,6.25,2025-05-26,0.4097186511527605,-0.01357249885991,,,fecha por convención (5 ruedas antes de la declarada)
RIPLEY,2026-05-14,13.141336,2026-05-22,1.0927553070313871,-0.0361990358923504,,,fecha por convención (5 ruedas antes de la declarada)
SALFACORP,2025-05-05,23.48,2025-05-12,1.1069338705681564,-0.0351428614191848,,,fecha por convención (5 ruedas antes de la declarada)
SALFACORP,2026-04-13,27.62,2026-04-20,0.617539942862031,-0.0196056162069308,,,fecha por convención (5 ruedas antes de la declarada)
SMSAAM,2024-11-25,1.969786,2024-12-02,0.7823577357661669,-0.018967607404355,,,fecha por convención (5 ruedas antes de la declarada)
SMSAAM,2025-11-24,1.969786,2025-12-01,0.5811720290810677,-0.0140900286123032,,,fecha por convención (5 ruedas antes de la declarada)
SMU,2024-05-27,2.48724,2024-06-03,0.5896437364260944,-0.0137942434345147,,,fecha por convención (5 ruedas antes de la declarada)
SMU,2024-08-26,0.86011,2024-09-02,0.2531218637233725,-0.0059215834767641,,,fecha por convención (5 ruedas antes de la declarada)
SMU,2024-11-22,0.97184,2024-11-29,0.2638419920322282,-0.0061723723012803,,,fecha por convención (5 ruedas antes de la declarada)
SMU,2025-04-24,2.02487,2025-05-02,0.4717501568624462,-0.0110362174683199,,,fecha por convención (5 ruedas antes de la declarada)
SMU,2025-05-23,0.54785,2025-05-30,0.1301719701942853,-0.0030452690909495,,,fecha por convención (5 ruedas antes de la declarada)
SMU,2025-08-25,1.94579,2025-09-01,0.5093202553322563,-0.0119151398618527,,,fecha por convención (5 ruedas antes de la declarada)
SMU,2025-11-20,4.24417,2025-11-27,1.2118402365856384,-0.028350032730819,,,fecha por convención (5 ruedas antes de la declarada)
SMU,2026-04-23,1.48337,2026-04-30,0.465148125690755,-0.0108817682314018,,,fecha por convención (5 ruedas antes de la declarada)
SMU,2026-05-22,0.0551,2026-05-29,0.0160770283560498,-0.000376109215017,,,fecha por convención (5 ruedas antes de la declarada)
SMU,2026-08-21,0.16931,2026-08-28,0.0577452024709783,-0.0013509028093608,,,fecha por convención (5 ruedas antes de la declarada)
SONDA,2024-08-30,2.295834,2024-09-06,0.2140335886178842,-0.0060416684210526,,,fecha por convención (5 ruedas antes de la declarada)
SONDA,2025-04-22,15.532614,2025-04-29,1.4427427733024087,-0.0407252595700052,,,fecha por convención (5 ruedas antes de la declarada)
SONDA,2025-08-29,1.113305,2025-09-05,0.1118331835933217,-0.0031567896333683,,,fecha por convención (5 ruedas antes de la declarada)
SONDA,2026-04-13,4.576802,2026-04-20,0.5381310351232931,-0.0151901825423166,,,fecha por convención (5 ruedas antes de la declarada)
SQM-B,2026-04-30,987.3097,2026-05-08,0.2336849115095899,-0.012176668114993,,,fecha por convención (5 ruedas antes de la declarada)
SQM-B,2026-08-31,1376.1746,2026-09-07,0.3732522215446078,-0.0194491308641724,,,fecha por convención (5 ruedas antes de la declarada)
VAPORES,2025-10-13,3.7372231,2025-10-20,2.2108309806015427,-0.07415124973917,-0.0696428853097678,0.0045083644294022,confirmada por el precio
VAPORES,2026-05-08,6.705327,2026-05-15,4.174600601760147,-0.1246343326224618,-0.1420074227770188,0.0173730901545569,confirmada por el precio
