published_at,available_at,broker,ticker,recommendation,target_price_min,target_price_max,currency,source_url,notes,row_number,broker_normalized,signal,published_at_parsed,available_at_parsed
2021-09-13,2021-09-13,Credicorp Capital,PARAUCO,Mantener,,,,,"Histórico validado, página 39",67,Credicorp Capital,0,2021-09-13,2021-09-13
2021-09-13,2021-09-13,Credicorp Capital,SMU,Comprar,,,,,"Histórico validado, página 39",68,Credicorp Capital,1,2021-09-13,2021-09-13
2021-09-14,2021-09-14,Credicorp Capital,HITES,Comprar,,,,,"Histórico validado, página 38",69,Credicorp Capital,1,2021-09-14,2021-09-14
2021-09-16,2021-09-16,Credicorp Capital,AGUAS-A,Mantener,,,,,"Histórico validado, página 37",70,Credicorp Capital,0,2021-09-16,2021-09-16
2021-09-16,2021-09-16,Credicorp Capital,ANDINA-B,Comprar,,,,,"Histórico validado, página 37",71,Credicorp Capital,1,2021-09-16,2021-09-16
2021-09-16,2021-09-16,Credicorp Capital,ANTARCHILE,Mantener,,,,,"Histórico validado, página 37",72,Credicorp Capital,0,2021-09-16,2021-09-16
2021-09-16,2021-09-16,Credicorp Capital,BESALCO,Mantener,,,,,"Histórico validado, página 37",73,Credicorp Capital,0,2021-09-16,2021-09-16
2021-09-16,2021-09-16,Credicorp Capital,BSANTANDER,Comprar,,,,,"Histórico validado, página 37",74,Credicorp Capital,1,2021-09-16,2021-09-16
2021-09-16,2021-09-16,Credicorp Capital,CAP,Comprar,,,,,"Histórico validado, página 37",75,Credicorp Capital,1,2021-09-16,2021-09-16
2021-09-16,2021-09-16,Credicorp Capital,CCU,Inferior al mercado,,,,,"Histórico validado, página 36",76,Credicorp Capital,-1,2021-09-16,2021-09-16
2021-09-16,2021-09-16,Credicorp Capital,CENCOMALLS,Comprar,,,,,"Histórico validado, página 37",77,Credicorp Capital,1,2021-09-16,2021-09-16
2021-09-16,2021-09-16,Credicorp Capital,CENCOSUD,Comprar,,,,,"Histórico validado, página 38",78,Credicorp Capital,1,2021-09-16,2021-09-16
2021-09-16,2021-09-16,Credicorp Capital,CHILE,Comprar,,,,,"Histórico validado, página 37",79,Credicorp Capital,1,2021-09-16,2021-09-16
2021-09-16,2021-09-16,Credicorp Capital,CMPC,Comprar,,,,,"Histórico validado, página 38",80,Credicorp Capital,1,2021-09-16,2021-09-16
2021-09-16,2021-09-16,Credicorp Capital,COLBUN,Comprar,,,,,"Histórico validado, página 36",81,Credicorp Capital,1,2021-09-16,2021-09-16
2021-09-16,2021-09-16,Credicorp Capital,COLBUN,Mantener,,,,,"Histórico validado, página 36",82,Credicorp Capital,0,2021-09-16,2021-09-16
2021-09-16,2021-09-16,Credicorp Capital,CONCHATORO,Comprar,,,,,"Histórico validado, página 37",83,Credicorp Capital,1,2021-09-16,2021-09-16
2021-09-16,2021-09-16,Credicorp Capital,COPEC,Comprar,,,,,"Histórico validado, página 36",84,Credicorp Capital,1,2021-09-16,2021-09-16
2021-09-16,2021-09-16,Credicorp Capital,ECL,Comprar,,,,,"Histórico validado, página 37",85,Credicorp Capital,1,2021-09-16,2021-09-16
2021-09-16,2021-09-16,Credicorp Capital,ENELAM,Mantener,,,,,"Histórico validado, página 38",86,Credicorp Capital,0,2021-09-16,2021-09-16
2021-09-16,2021-09-16,Credicorp Capital,ENELCHILE,Mantener,,,,,"Histórico validado, página 38",87,Credicorp Capital,0,2021-09-16,2021-09-16
2021-09-16,2021-09-16,Credicorp Capital,FALABELLA,Mantener,,,,,"Histórico validado, página 37",88,Credicorp Capital,0,2021-09-16,2021-09-16
2021-09-16,2021-09-16,Credicorp Capital,FORUS,Comprar,,,,,"Histórico validado, página 37",89,Credicorp Capital,1,2021-09-16,2021-09-16
2021-09-16,2021-09-16,Credicorp Capital,INDISA,Comprar,,,,,"Histórico validado, página 37",90,Credicorp Capital,1,2021-09-16,2021-09-16
2021-09-16,2021-09-16,Credicorp Capital,RIPLEY,Mantener,,,,,"Histórico validado, página 37",91,Credicorp Capital,0,2021-09-16,2021-09-16
2021-09-16,2021-09-16,Credicorp Capital,SQM-B,Mantener,,,,,"Histórico validado, página 37",92,Credicorp Capital,0,2021-09-16,2021-09-16
2021-09-20,2021-09-20,Credicorp Capital,ENELAM,Mantener,,,,,"Histórico validado, página 36",93,Credicorp Capital,0,2021-09-20,2021-09-20
2021-09-20,2021-09-20,Credicorp Capital,ENELCHILE,Mantener,,,,,"Histórico validado, página 36",94,Credicorp Capital,0,2021-09-20,2021-09-20
2021-09-20,2021-09-20,Credicorp Capital,ENTEL,Comprar,,,,,"Histórico validado, página 36",95,Credicorp Capital,1,2021-09-20,2021-09-20
2021-09-20,2021-09-20,Credicorp Capital,HITES,Comprar,,,,,"Histórico validado, página 36",96,Credicorp Capital,1,2021-09-20,2021-09-20
2021-09-22,2021-09-22,Credicorp Capital,BSANTANDER,Comprar,,,,,"Histórico validado, página 35",97,Credicorp Capital,1,2021-09-22,2021-09-22
2021-09-22,2021-09-22,Credicorp Capital,COLBUN,Mantener,,,,,"Histórico validado, página 35",98,Credicorp Capital,0,2021-09-22,2021-09-22
2021-09-22,2021-09-22,Credicorp Capital,ITAUCL,Inferior al mercado,,,,,"Histórico validado, página 35",99,Credicorp Capital,-1,2021-09-22,2021-09-22
2021-09-23,2021-09-23,Credicorp Capital,ITAUCL,Inferior al mercado,,,,,"Histórico validado, página 34",100,Credicorp Capital,-1,2021-09-23,2021-09-23
2021-09-24,2021-09-24,Credicorp Capital,PARAUCO,Mantener,,,,,"Histórico validado, página 34",101,Credicorp Capital,0,2021-09-24,2021-09-24
2021-09-27,2021-09-27,Credicorp Capital,CENCOSUD,Comprar,,,,,"Histórico validado, página 33",102,Credicorp Capital,1,2021-09-27,2021-09-27
2021-09-28,2021-09-28,Credicorp Capital,ILC,Mantener,,,,,"Histórico validado, página 33",103,Credicorp Capital,0,2021-09-28,2021-09-28
2021-09-30,2021-09-30,Credicorp Capital,ENTEL,Comprar,,,,,"Histórico validado, página 31",104,Credicorp Capital,1,2021-09-30,2021-09-30
2021-10-01,2021-10-01,Credicorp Capital,CENCOMALLS,Comprar,,,,,"Histórico validado, página 31",105,Credicorp Capital,1,2021-10-01,2021-10-01
2021-10-05,2021-10-05,Credicorp Capital,ITAUCL,Inferior al mercado,,,,,"Histórico validado, página 30",106,Credicorp Capital,-1,2021-10-05,2021-10-05
2021-10-06,2021-10-06,Credicorp Capital,ANDINA-B,Comprar,,,,,"Histórico validado, página 29",107,Credicorp Capital,1,2021-10-06,2021-10-06
2021-10-06,2021-10-06,Credicorp Capital,BCI,Comprar,,,,,"Histórico validado, página 29",108,Credicorp Capital,1,2021-10-06,2021-10-06
2021-10-06,2021-10-06,Credicorp Capital,BSANTANDER,Comprar,,,,,"Histórico validado, página 29",109,Credicorp Capital,1,2021-10-06,2021-10-06
2021-10-06,2021-10-06,Credicorp Capital,CENCOSUD,Comprar,,,,,"Histórico validado, página 29",110,Credicorp Capital,1,2021-10-06,2021-10-06
2021-10-06,2021-10-06,Credicorp Capital,CMPC,Comprar,,,,,"Histórico validado, página 29",111,Credicorp Capital,1,2021-10-06,2021-10-06
2021-10-06,2021-10-06,Credicorp Capital,CONCHATORO,Comprar,,,,,"Histórico validado, página 29",112,Credicorp Capital,1,2021-10-06,2021-10-06
2021-10-06,2021-10-06,Credicorp Capital,ENELAM,Mantener,,,,,"Histórico validado, página 29",113,Credicorp Capital,0,2021-10-06,2021-10-06
2021-10-06,2021-10-06,Credicorp Capital,FALABELLA,Mantener,,,,,"Histórico validado, página 29",114,Credicorp Capital,0,2021-10-06,2021-10-06
2021-10-06,2021-10-06,Credicorp Capital,MALLPLAZA,Comprar,,,,,"Histórico validado, página 29",115,Credicorp Capital,1,2021-10-06,2021-10-06
2021-10-06,2021-10-06,Credicorp Capital,SMSAAM,Comprar,,,,,"Histórico validado, página 29",116,Credicorp Capital,1,2021-10-06,2021-10-06
2021-10-07,2021-10-07,Credicorp Capital,CCU,Inferior al mercado,,,,,"Histórico validado, página 27",117,Credicorp Capital,-1,2021-10-07,2021-10-07
2021-10-07,2021-10-07,Credicorp Capital,ENTEL,Comprar,,,,,"Histórico validado, página 27",118,Credicorp Capital,1,2021-10-07,2021-10-07
2021-10-08,2021-10-08,Credicorp Capital,ANDINA-B,Comprar,,,,,"Histórico validado, página 27",119,Credicorp Capital,1,2021-10-08,2021-10-08
2021-10-08,2021-10-08,Credicorp Capital,CMPC,Comprar,,,,,"Histórico validado, página 27",120,Credicorp Capital,1,2021-10-08,2021-10-08
2021-10-08,2021-10-08,Credicorp Capital,FALABELLA,Mantener,,,,,"Histórico validado, página 27",121,Credicorp Capital,0,2021-10-08,2021-10-08
2021-10-08,2021-10-08,Credicorp Capital,MALLPLAZA,Comprar,,,,,"Histórico validado, página 27",122,Credicorp Capital,1,2021-10-08,2021-10-08
2021-10-12,2021-10-12,Credicorp Capital,CENCOSUD,Comprar,,,,,"Histórico validado, página 26",123,Credicorp Capital,1,2021-10-12,2021-10-12
2021-10-14,2021-10-14,Credicorp Capital,CENCOMALLS,Comprar,,,,,"Histórico validado, página 25",124,Credicorp Capital,1,2021-10-14,2021-10-14
2021-10-15,2021-10-15,Credicorp Capital,BSANTANDER,Comprar,,,,,"Histórico validado, página 25",125,Credicorp Capital,1,2021-10-15,2021-10-15
2021-10-15,2021-10-15,Credicorp Capital,CCU,Inferior al mercado,,,,,"Histórico validado, página 25",126,Credicorp Capital,-1,2021-10-15,2021-10-15
2021-10-15,2021-10-15,Credicorp Capital,CHILE,Comprar,,,,,"Histórico validado, página 25",127,Credicorp Capital,1,2021-10-15,2021-10-15
2021-10-19,2021-10-19,Credicorp Capital,ITAUCL,Inferior al mercado,,,,,"Histórico validado, página 25",128,Credicorp Capital,-1,2021-10-19,2021-10-19
2021-10-20,2021-10-20,Credicorp Capital,ITAUCL,Inferior al mercado,,,,,"Histórico validado, página 23",129,Credicorp Capital,-1,2021-10-20,2021-10-20
2021-10-21,2021-10-21,Credicorp Capital,EMBONOR-B,Comprar,,,,,"Histórico validado, página 23",130,Credicorp Capital,1,2021-10-21,2021-10-21
2021-10-25,2021-10-25,Credicorp Capital,AGUAS-A,Mantener,,,,,"Histórico validado, página 22",131,Credicorp Capital,0,2021-10-25,2021-10-25
2021-10-25,2021-10-25,Credicorp Capital,CENCOSUD,Comprar,,,,,"Histórico validado, página 22",132,Credicorp Capital,1,2021-10-25,2021-10-25
2021-10-26,2021-10-26,Credicorp Capital,CENCOSUD,Comprar,,,,,"Histórico validado, página 22",133,Credicorp Capital,1,2021-10-26,2021-10-26
2021-10-26,2021-10-26,Credicorp Capital,COPEC,Comprar,,,,,"Histórico validado, página 21",134,Credicorp Capital,1,2021-10-26,2021-10-26
2021-10-26,2021-10-26,Credicorp Capital,SQM-B,Mantener,,,,,"Histórico validado, página 22",135,Credicorp Capital,0,2021-10-26,2021-10-26
2021-10-28,2021-10-28,Credicorp Capital,COLBUN,Mantener,,,,,"Histórico validado, página 21",136,Credicorp Capital,0,2021-10-28,2021-10-28
2021-10-28,2021-10-28,Credicorp Capital,ECL,Comprar,,,,,"Histórico validado, página 21",137,Credicorp Capital,1,2021-10-28,2021-10-28
2021-10-28,2021-10-28,Credicorp Capital,ENELAM,Mantener,,,,,"Histórico validado, página 21",138,Credicorp Capital,0,2021-10-28,2021-10-28
2021-10-29,2021-10-29,Credicorp Capital,BESALCO,Mantener,,,,,"Histórico validado, página 21",139,Credicorp Capital,0,2021-10-29,2021-10-29
2021-11-03,2021-11-03,Credicorp Capital,ANDINA-B,Comprar,,,,,"Histórico validado, página 60",140,Credicorp Capital,1,2021-11-03,2021-11-03
2021-11-03,2021-11-03,Credicorp Capital,CENCOSUD,Comprar,,,,,"Histórico validado, página 60",141,Credicorp Capital,1,2021-11-03,2021-11-03
2021-11-03,2021-11-03,Credicorp Capital,CMPC,Comprar,,,,,"Histórico validado, página 60",142,Credicorp Capital,1,2021-11-03,2021-11-03
2021-11-03,2021-11-03,Credicorp Capital,ENELAM,Mantener,,,,,"Histórico validado, página 60",143,Credicorp Capital,0,2021-11-03,2021-11-03
2021-11-03,2021-11-03,Credicorp Capital,FALABELLA,Mantener,,,,,"Histórico validado, página 60",144,Credicorp Capital,0,2021-11-03,2021-11-03
2021-11-05,2021-11-05,Credicorp Capital,CCU,Inferior al mercado,,,,,"Histórico validado, página 59",145,Credicorp Capital,-1,2021-11-05,2021-11-05
2021-11-05,2021-11-05,Credicorp Capital,CMPC,Comprar,,,,,"Histórico validado, página 59",146,Credicorp Capital,1,2021-11-05,2021-11-05
2021-11-05,2021-11-05,Credicorp Capital,CONCHATORO,Comprar,,,,,"Histórico validado, página 59",147,Credicorp Capital,1,2021-11-05,2021-11-05
2021-11-08,2021-11-08,Credicorp Capital,CAP,Comprar,,,,,"Histórico validado, página 58",148,Credicorp Capital,1,2021-11-08,2021-11-08
2021-11-08,2021-11-08,Credicorp Capital,CHILE,Comprar,,,,,"Histórico validado, página 58",149,Credicorp Capital,1,2021-11-08,2021-11-08
2021-11-08,2021-11-08,Credicorp Capital,CMPC,Comprar,,,,,"Histórico validado, página 58",150,Credicorp Capital,1,2021-11-08,2021-11-08
2021-11-08,2021-11-08,Credicorp Capital,ITAUCL,Inferior al mercado,,,,,"Histórico validado, página 59",151,Credicorp Capital,-1,2021-11-08,2021-11-08
2021-11-08,2021-11-08,Credicorp Capital,SMSAAM,Comprar,,,,,"Histórico validado, página 58",152,Credicorp Capital,1,2021-11-08,2021-11-08
2021-11-09,2021-11-09,Credicorp Capital,CONCHATORO,Comprar,,,,,"Histórico validado, página 57",153,Credicorp Capital,1,2021-11-09,2021-11-09
2021-11-09,2021-11-09,Credicorp Capital,ENTEL,Comprar,,,,,"Histórico validado, página 57",154,Credicorp Capital,1,2021-11-09,2021-11-09
2021-11-10,2021-11-10,Credicorp Capital,FALABELLA,Mantener,,,,,"Histórico validado, página 57",155,Credicorp Capital,0,2021-11-10,2021-11-10
2021-11-10,2021-11-10,Credicorp Capital,MALLPLAZA,Comprar,,,,,"Histórico validado, página 57",156,Credicorp Capital,1,2021-11-10,2021-11-10
2021-11-12,2021-11-12,Credicorp Capital,CENCOMALLS,Comprar,,,,,"Histórico validado, página 55",157,Credicorp Capital,1,2021-11-12,2021-11-12
2021-11-12,2021-11-12,Credicorp Capital,CENCOSUD,Comprar,,,,,"Histórico validado, página 56",158,Credicorp Capital,1,2021-11-12,2021-11-12
2021-11-12,2021-11-12,Credicorp Capital,HITES,Comprar,,,,,"Histórico validado, página 56",159,Credicorp Capital,1,2021-11-12,2021-11-12
2021-11-16,2021-11-16,Credicorp Capital,SMU,Comprar,,,,,"Histórico validado, página 55",160,Credicorp Capital,1,2021-11-16,2021-11-16
2021-11-18,2021-11-18,Credicorp Capital,SQM-B,Mantener,,,,,"Histórico validado, página 54",161,Credicorp Capital,0,2021-11-18,2021-11-18
2021-11-23,2021-11-23,Credicorp Capital,CMPC,Comprar,,,,,"Histórico validado, página 53",162,Credicorp Capital,1,2021-11-23,2021-11-23
2021-11-24,2021-11-24,Credicorp Capital,INDISA,Comprar,,,,,"Histórico validado, página 53",163,Credicorp Capital,1,2021-11-24,2021-11-24
2021-11-29,2021-11-29,Credicorp Capital,FORUS,Comprar,,,,,"Histórico validado, página 52",164,Credicorp Capital,1,2021-11-29,2021-11-29
2021-11-29,2021-11-29,Credicorp Capital,RIPLEY,Mantener,,,,,"Histórico validado, página 52",165,Credicorp Capital,0,2021-11-29,2021-11-29
2021-12-01,2021-12-01,Credicorp Capital,ENELAM,Mantener,,,,,"Histórico validado, página 51",166,Credicorp Capital,0,2021-12-01,2021-12-01
2021-12-02,2021-12-02,Credicorp Capital,COLBUN,Mantener,,,,,"Histórico validado, página 51",167,Credicorp Capital,0,2021-12-02,2021-12-02
2021-12-06,2021-12-06,Credicorp Capital,CMPC,Comprar,,,,,"Histórico validado, página 50",168,Credicorp Capital,1,2021-12-06,2021-12-06
2021-12-07,2021-12-07,Credicorp Capital,BESALCO,Comprar,,,,,"Histórico validado, página 50",170,Credicorp Capital,1,2021-12-07,2021-12-07
2021-12-07,2021-12-07,Credicorp Capital,MALLPLAZA,Comprar,,,,,"Histórico validado, página 49",171,Credicorp Capital,1,2021-12-07,2021-12-07
2021-12-07,2021-12-07,Credicorp Capital,PARAUCO,Comprar,,,,,"Histórico validado, página 49",172,Credicorp Capital,1,2021-12-07,2021-12-07
2021-12-09,2021-12-09,Credicorp Capital,CENCOSUD,Comprar,,,,,"Histórico validado, página 49",173,Credicorp Capital,1,2021-12-09,2021-12-09
2021-12-10,2021-12-10,Credicorp Capital,CONCHATORO,Comprar,,,,,"Histórico validado, página 49",174,Credicorp Capital,1,2021-12-10,2021-12-10
2021-12-15,2021-12-15,Credicorp Capital,BSANTANDER,Comprar,,,,,"Histórico validado, página 47",175,Credicorp Capital,1,2021-12-15,2021-12-15
2021-12-15,2021-12-15,Credicorp Capital,CHILE,Comprar,,,,,"Histórico validado, página 47",176,Credicorp Capital,1,2021-12-15,2021-12-15
2021-12-15,2021-12-15,Credicorp Capital,ITAUCL,Comprar,,,,,"Histórico validado, página 47",177,Credicorp Capital,1,2021-12-15,2021-12-15
2021-12-16,2021-12-16,Credicorp Capital,RIPLEY,Mantener,,,,,"Histórico validado, página 47",178,Credicorp Capital,0,2021-12-16,2021-12-16
2021-12-21,2021-12-21,Credicorp Capital,CHILE,Comprar,,,,,"Histórico validado, página 46",179,Credicorp Capital,1,2021-12-21,2021-12-21
2021-12-21,2021-12-21,Credicorp Capital,ITAUCL,Comprar,,,,,"Histórico validado, página 46",180,Credicorp Capital,1,2021-12-21,2021-12-21
2021-12-24,2021-12-24,Credicorp Capital,ANDINA-B,Comprar,,,,,"Histórico validado, página 45",181,Credicorp Capital,1,2021-12-24,2021-12-24
2021-12-24,2021-12-24,Credicorp Capital,CENCOSUD,Comprar,,,,,"Histórico validado, página 44",182,Credicorp Capital,1,2021-12-24,2021-12-24
2021-12-24,2021-12-24,Credicorp Capital,PARAUCO,Mantener,,,,,"Histórico validado, página 45",183,Credicorp Capital,0,2021-12-24,2021-12-24
2021-12-24,2021-12-24,Credicorp Capital,SQM-B,Mantener,,,,,"Histórico validado, página 45",184,Credicorp Capital,0,2021-12-24,2021-12-24
2021-12-28,2021-12-28,Credicorp Capital,ENELCHILE,Mantener,,,,,"Histórico validado, página 44",185,Credicorp Capital,0,2021-12-28,2021-12-28
2021-12-28,2021-12-28,Credicorp Capital,FALABELLA,Mantener,,,,,"Histórico validado, página 44",186,Credicorp Capital,0,2021-12-28,2021-12-28
2021-12-29,2021-12-29,Credicorp Capital,ENELCHILE,Mantener,,,,,"Histórico validado, página 44",187,Credicorp Capital,0,2021-12-29,2021-12-29
2021-12-29,2021-12-29,Credicorp Capital,SMU,Comprar,,,,,"Histórico validado, página 44",188,Credicorp Capital,1,2021-12-29,2021-12-29
2022-01-05,2022-01-05,Credicorp Capital,CAP,Comprar,,,,,"Histórico validado, página 43",190,Credicorp Capital,1,2022-01-05,2022-01-05
2022-01-05,2022-01-05,Credicorp Capital,CENCOMALLS,Comprar,,,,,"Histórico validado, página 42",191,Credicorp Capital,1,2022-01-05,2022-01-05
2022-01-05,2022-01-05,Credicorp Capital,SMU,Comprar,,,,,"Histórico validado, página 43",192,Credicorp Capital,1,2022-01-05,2022-01-05
2022-01-26,2022-01-26,Credicorp Capital,ENELCHILE,Mantener,,,,,"Histórico validado, página 79",194,Credicorp Capital,0,2022-01-26,2022-01-26
2022-01-27,2022-01-27,Credicorp Capital,COLBUN,Mantener,,,,,"Histórico validado, página 79",195,Credicorp Capital,0,2022-01-27,2022-01-27
2022-01-27,2022-01-27,Credicorp Capital,ECL,Comprar,,,,,"Histórico validado, página 79",196,Credicorp Capital,1,2022-01-27,2022-01-27
2022-01-27,2022-01-27,Credicorp Capital,ENTEL,Comprar,,,,,"Histórico validado, página 79",197,Credicorp Capital,1,2022-01-27,2022-01-27
2022-01-28,2022-01-28,Credicorp Capital,CAP,Comprar,,,,,"Histórico validado, página 78",198,Credicorp Capital,1,2022-01-28,2022-01-28
2022-01-31,2022-01-31,Credicorp Capital,COLBUN,Mantener,,,,,"Histórico validado, página 78",199,Credicorp Capital,0,2022-01-31,2022-01-31
2022-01-31,2022-01-31,Credicorp Capital,FALABELLA,Mantener,,,,,"Histórico validado, página 78",200,Credicorp Capital,0,2022-01-31,2022-01-31
2022-02-01,2022-02-01,Credicorp Capital,BESALCO,Comprar,,,,,"Histórico validado, página 77",201,Credicorp Capital,1,2022-02-01,2022-02-01
2022-02-02,2022-02-02,Credicorp Capital,BCI,Comprar,,,,,"Histórico validado, página 77",202,Credicorp Capital,1,2022-02-02,2022-02-02
2022-02-02,2022-02-02,Credicorp Capital,BSANTANDER,Comprar,,,,,"Histórico validado, página 76",203,Credicorp Capital,1,2022-02-02,2022-02-02
2022-02-02,2022-02-02,Credicorp Capital,CAP,Comprar,,,,,"Histórico validado, página 77",204,Credicorp Capital,1,2022-02-02,2022-02-02
2022-02-02,2022-02-02,Credicorp Capital,CENCOMALLS,Comprar,,,,,"Histórico validado, página 77",205,Credicorp Capital,1,2022-02-02,2022-02-02
2022-02-02,2022-02-02,Credicorp Capital,CENCOSUD,Comprar,,,,,"Histórico validado, página 77",206,Credicorp Capital,1,2022-02-02,2022-02-02
2022-02-02,2022-02-02,Credicorp Capital,CMPC,Comprar,,,,,"Histórico validado, página 77",207,Credicorp Capital,1,2022-02-02,2022-02-02
2022-02-02,2022-02-02,Credicorp Capital,CONCHATORO,Comprar,,,,,"Histórico validado, página 77",208,Credicorp Capital,1,2022-02-02,2022-02-02
2022-02-02,2022-02-02,Credicorp Capital,ITAUCL,Comprar,,,,,"Histórico validado, página 76",209,Credicorp Capital,1,2022-02-02,2022-02-02
2022-02-02,2022-02-02,Credicorp Capital,QUINENCO,Comprar,,,,,"Histórico validado, página 76",210,Credicorp Capital,1,2022-02-02,2022-02-02
2022-02-02,2022-02-02,Credicorp Capital,SQM-B,Mantener,,,,,"Histórico validado, página 77",211,Credicorp Capital,0,2022-02-02,2022-02-02
2022-02-07,2022-02-07,Credicorp Capital,BESALCO,Comprar,,,,,"Histórico validado, página 75",212,Credicorp Capital,1,2022-02-07,2022-02-07
2022-02-07,2022-02-07,Credicorp Capital,CHILE,Comprar,,,,,"Histórico validado, página 75",213,Credicorp Capital,1,2022-02-07,2022-02-07
2022-02-07,2022-02-07,Credicorp Capital,ECL,Comprar,,,,,"Histórico validado, página 75",214,Credicorp Capital,1,2022-02-07,2022-02-07
2022-02-09,2022-02-09,Credicorp Capital,ANDINA-B,Mantener,,,,,"Histórico validado, página 75",215,Credicorp Capital,0,2022-02-09,2022-02-09
2022-02-09,2022-02-09,Credicorp Capital,CCU,Comprar,,,,,"Histórico validado, página 74",216,Credicorp Capital,1,2022-02-09,2022-02-09
2022-02-09,2022-02-09,Credicorp Capital,CONCHATORO,Comprar,,,,,"Histórico validado, página 74",217,Credicorp Capital,1,2022-02-09,2022-02-09
2022-02-09,2022-02-09,Credicorp Capital,EMBONOR-B,Comprar,,,,,"Histórico validado, página 74",218,Credicorp Capital,1,2022-02-09,2022-02-09
2022-02-09,2022-02-09,Credicorp Capital,ITAUCL,Comprar,,,,,"Histórico validado, página 74",219,Credicorp Capital,1,2022-02-09,2022-02-09
2022-02-10,2022-02-10,Credicorp Capital,CAP,Comprar,,,,,"Histórico validado, página 74",220,Credicorp Capital,1,2022-02-10,2022-02-10
2022-02-16,2022-02-16,Credicorp Capital,AGUAS-A,Mantener,,,,,"Histórico validado, página 72",221,Credicorp Capital,0,2022-02-16,2022-02-16
2022-02-16,2022-02-16,Credicorp Capital,BSANTANDER,Comprar,,,,,"Histórico validado, página 73",222,Credicorp Capital,1,2022-02-16,2022-02-16
2022-02-16,2022-02-16,Credicorp Capital,CHILE,Comprar,,,,,"Histórico validado, página 73",223,Credicorp Capital,1,2022-02-16,2022-02-16
2022-02-16,2022-02-16,Credicorp Capital,ITAUCL,Comprar,,,,,"Histórico validado, página 73",224,Credicorp Capital,1,2022-02-16,2022-02-16
2022-02-18,2022-02-18,Credicorp Capital,ITAUCL,Comprar,,,,,"Histórico validado, página 71",225,Credicorp Capital,1,2022-02-18,2022-02-18
2022-02-22,2022-02-22,Credicorp Capital,RIPLEY,Mantener,,,,,"Histórico validado, página 71",226,Credicorp Capital,0,2022-02-22,2022-02-22
2022-02-23,2022-02-23,Credicorp Capital,ANDINA-B,Mantener,,,,,"Histórico validado, página 70",227,Credicorp Capital,0,2022-02-23,2022-02-23
2022-02-23,2022-02-23,Credicorp Capital,ITAUCL,Comprar,,,,,"Histórico validado, página 70",228,Credicorp Capital,1,2022-02-23,2022-02-23
2022-02-24,2022-02-24,Credicorp Capital,ANDINA-B,Mantener,,,,,"Histórico validado, página 70",229,Credicorp Capital,0,2022-02-24,2022-02-24
2022-02-24,2022-02-24,Credicorp Capital,CCU,Comprar,,,,,"Histórico validado, página 70",230,Credicorp Capital,1,2022-02-24,2022-02-24
2022-02-25,2022-02-25,Credicorp Capital,SALFACORP,Mantener,,,,,"Histórico validado, página 70",232,Credicorp Capital,0,2022-02-25,2022-02-25
2022-02-28,2022-02-28,Credicorp Capital,ENELAM,Mantener,,,,,"Histórico validado, página 69",233,Credicorp Capital,0,2022-02-28,2022-02-28
2022-03-01,2022-03-01,Credicorp Capital,ENELCHILE,Mantener,,,,,"Histórico validado, página 69",234,Credicorp Capital,0,2022-03-01,2022-03-01
2022-03-02,2022-03-02,Credicorp Capital,FALABELLA,Mantener,,,,,"Histórico validado, página 68",236,Credicorp Capital,0,2022-03-02,2022-03-02
2022-03-02,2022-03-02,Credicorp Capital,ITAUCL,Comprar,,,,,"Histórico validado, página 68",237,Credicorp Capital,1,2022-03-02,2022-03-02
2022-03-02,2022-03-02,Credicorp Capital,MALLPLAZA,Comprar,,,,,"Histórico validado, página 68",238,Credicorp Capital,1,2022-03-02,2022-03-02
2022-03-03,2022-03-03,Credicorp Capital,FORUS,Comprar,,,,,"Histórico validado, página 68",239,Credicorp Capital,1,2022-03-03,2022-03-03
2022-03-03,2022-03-03,Credicorp Capital,SQM-B,Mantener,,,,,"Histórico validado, página 68",240,Credicorp Capital,0,2022-03-03,2022-03-03
2022-03-04,2022-03-04,Credicorp Capital,CENCOSUD,Comprar,,,,,"Histórico validado, página 67",241,Credicorp Capital,1,2022-03-04,2022-03-04
2022-03-07,2022-03-07,Credicorp Capital,COPEC,Comprar,,,,,"Histórico validado, página 67",242,Credicorp Capital,1,2022-03-07,2022-03-07
2022-03-07,2022-03-07,Credicorp Capital,EMBONOR-B,Comprar,,,,,"Histórico validado, página 67",243,Credicorp Capital,1,2022-03-07,2022-03-07
2022-03-09,2022-03-09,Credicorp Capital,RIPLEY,Mantener,,,,,"Histórico validado, página 65",244,Credicorp Capital,0,2022-03-09,2022-03-09
2022-03-09,2022-03-09,Credicorp Capital,SMSAAM,Comprar,,,,,"Histórico validado, página 66",245,Credicorp Capital,1,2022-03-09,2022-03-09
2022-03-14,2022-03-14,Credicorp Capital,SMSAAM,Comprar,,,,,"Histórico validado, página 64",246,Credicorp Capital,1,2022-03-14,2022-03-14
2022-03-15,2022-03-15,Credicorp Capital,CENCOSUD,Comprar,,,,,"Histórico validado, página 64",247,Credicorp Capital,1,2022-03-15,2022-03-15
2022-03-15,2022-03-15,Credicorp Capital,CONCHATORO,Comprar,,,,,"Histórico validado, página 64",248,Credicorp Capital,1,2022-03-15,2022-03-15
2022-03-16,2022-03-16,Credicorp Capital,HITES,Comprar,,,,,"Histórico validado, página 63",249,Credicorp Capital,1,2022-03-16,2022-03-16
2022-03-16,2022-03-16,Credicorp Capital,ITAUCL,Comprar,,,,,"Histórico validado, página 63",250,Credicorp Capital,1,2022-03-16,2022-03-16
