alphadata_ticker,yahoo_ticker,date,close,volume
BSANTANDER,BSANTANDER.SN,2021-01-08,39.779998779296875,164774066.0
CENCOSUD,CENCOSUD.SN,2021-01-08,1410.0,4593531.0
FALABELLA,FALABELLA.SN,2021-01-08,2900.0,1618411.0
SQM-B,SQM-B.SN,2021-01-08,39983.84765625,178089.0
BSANTANDER,BSANTANDER.SN,2021-01-15,39.43000030517578,134728574.0
CENCOSUD,CENCOSUD.SN,2021-01-15,1440.0,3276052.0
FALABELLA,FALABELLA.SN,2021-01-15,2719.89990234375,2051395.0
SQM-B,SQM-B.SN,2021-01-15,40820.94921875,230758.0
BSANTANDER,BSANTANDER.SN,2021-01-22,38.0,94399004.0
CENCOSUD,CENCOSUD.SN,2021-01-22,1383.699951171875,4059786.0
FALABELLA,FALABELLA.SN,2021-01-22,2663.39990234375,864421.0
SQM-B,SQM-B.SN,2021-01-22,40269.44921875,112337.0
BSANTANDER,BSANTANDER.SN,2021-01-29,37.20000076293945,306539079.0
CENCOSUD,CENCOSUD.SN,2021-01-29,1275.199951171875,7607448.0
FALABELLA,FALABELLA.SN,2021-01-29,2515.5,2937496.0
SQM-B,SQM-B.SN,2021-01-29,36586.20703125,370631.0
BSANTANDER,BSANTANDER.SN,2021-02-05,38.4900016784668,78676043.0
CENCOSUD,CENCOSUD.SN,2021-02-05,1305.0999755859375,2079148.0
FALABELLA,FALABELLA.SN,2021-02-05,2690.0,1221751.0
SQM-B,SQM-B.SN,2021-02-05,37915.71875,170591.0
BSANTANDER,BSANTANDER.SN,2021-02-12,40.70000076293945,38804357.0
CENCOSUD,CENCOSUD.SN,2021-02-12,1390.0,1449905.0
FALABELLA,FALABELLA.SN,2021-02-12,2790.0,1523364.0
SQM-B,SQM-B.SN,2021-02-12,40377.77734375,107046.0
BSANTANDER,BSANTANDER.SN,2021-02-19,42.880001068115234,76881971.0
CENCOSUD,CENCOSUD.SN,2021-02-19,1400.0,2020240.0
FALABELLA,FALABELLA.SN,2021-02-19,2838.10009765625,629245.0
SQM-B,SQM-B.SN,2021-02-19,39230.45703125,115769.0
BSANTANDER,BSANTANDER.SN,2021-02-26,41.400001525878906,188562949.0
CENCOSUD,CENCOSUD.SN,2021-02-26,1417.5,4302345.0
FALABELLA,FALABELLA.SN,2021-02-26,2999.0,3126708.0
SQM-B,SQM-B.SN,2021-02-26,38211.1640625,257860.0
BSANTANDER,BSANTANDER.SN,2021-03-05,44.400001525878906,102746497.0
CENCOSUD,CENCOSUD.SN,2021-03-05,1460.0,3079383.0
FALABELLA,FALABELLA.SN,2021-03-05,3220.0,1711134.0
SQM-B,SQM-B.SN,2021-03-05,36783.171875,204550.0
BSANTANDER,BSANTANDER.SN,2021-03-12,46.2400016784668,72929690.0
CENCOSUD,CENCOSUD.SN,2021-03-12,1464.0,1888479.0
FALABELLA,FALABELLA.SN,2021-03-12,3229.0,1607786.0
SQM-B,SQM-B.SN,2021-03-12,40268.46484375,227355.0
BSANTANDER,BSANTANDER.SN,2021-03-19,45.22999954223633,205485134.0
CENCOSUD,CENCOSUD.SN,2021-03-19,1455.300048828125,6428497.0
FALABELLA,FALABELLA.SN,2021-03-19,3060.0,5448639.0
SQM-B,SQM-B.SN,2021-03-19,38851.30078125,395859.0
BSANTANDER,BSANTANDER.SN,2021-03-26,44.650001525878906,75934922.0
CENCOSUD,CENCOSUD.SN,2021-03-26,1550.0,3570717.0
FALABELLA,FALABELLA.SN,2021-03-26,3200.0,2702255.0
SQM-B,SQM-B.SN,2021-03-26,37860.0,126056.0
BSANTANDER,BSANTANDER.SN,2021-04-02,44.650001525878906,141599563.0
CENCOSUD,CENCOSUD.SN,2021-04-02,1496.9000244140625,3740485.0
FALABELLA,FALABELLA.SN,2021-04-02,3250.0,2904974.0
SQM-B,SQM-B.SN,2021-04-02,39200.0,339425.0
BSANTANDER,BSANTANDER.SN,2021-04-09,44.33000183105469,99812209.0
CENCOSUD,CENCOSUD.SN,2021-04-09,1599.9000244140625,1811031.0
FALABELLA,FALABELLA.SN,2021-04-09,3440.0,910665.0
SQM-B,SQM-B.SN,2021-04-09,38199.0,238020.0
BSANTANDER,BSANTANDER.SN,2021-04-16,45.20000076293945,89517350.0
CENCOSUD,CENCOSUD.SN,2021-04-16,1681.0999755859375,49627225.0
FALABELLA,FALABELLA.SN,2021-04-16,3450.0,1708855.0
SQM-B,SQM-B.SN,2021-04-16,38750.0,239555.0
BSANTANDER,BSANTANDER.SN,2021-04-23,43.33000183105469,157212298.0
CENCOSUD,CENCOSUD.SN,2021-04-23,1628.0,4346633.0
FALABELLA,FALABELLA.SN,2021-04-23,3400.0,2142762.0
SQM-B,SQM-B.SN,2021-04-23,38101.0,508591.0
BSANTANDER,BSANTANDER.SN,2021-04-30,39.0,155785801.0
CENCOSUD,CENCOSUD.SN,2021-04-30,1475.5,2725120.0
FALABELLA,FALABELLA.SN,2021-04-30,3210.0,2126566.0
SQM-B,SQM-B.SN,2021-04-30,37449.0,359560.0
BSANTANDER,BSANTANDER.SN,2021-05-07,41.0,68238438.0
CENCOSUD,CENCOSUD.SN,2021-05-07,1481.0,2219290.0
FALABELLA,FALABELLA.SN,2021-05-07,3340.0,1320330.0
SQM-B,SQM-B.SN,2021-05-07,38107.0,208342.0
BSANTANDER,BSANTANDER.SN,2021-05-14,40.599998474121094,70885894.0
CENCOSUD,CENCOSUD.SN,2021-05-14,1526.5999755859375,1829825.0
FALABELLA,FALABELLA.SN,2021-05-14,3400.0,2163731.0
SQM-B,SQM-B.SN,2021-05-14,36690.0,213521.0
BSANTANDER,BSANTANDER.SN,2021-05-21,36.0,135672625.0
CENCOSUD,CENCOSUD.SN,2021-05-21,1275.699951171875,2485931.0
FALABELLA,FALABELLA.SN,2021-05-21,2911.0,2022845.0
SQM-B,SQM-B.SN,2021-05-21,30500.0,251799.0
BSANTANDER,BSANTANDER.SN,2021-05-28,38.93000030517578,293758160.0
CENCOSUD,CENCOSUD.SN,2021-05-28,1410.0,8243454.0
FALABELLA,FALABELLA.SN,2021-05-28,3169.0,5300025.0
SQM-B,SQM-B.SN,2021-05-28,31500.0,483116.0
BSANTANDER,BSANTANDER.SN,2021-06-04,38.380001068115234,118865447.0
CENCOSUD,CENCOSUD.SN,2021-06-04,1425.0,3909299.0
FALABELLA,FALABELLA.SN,2021-06-04,3187.0,2671208.0
SQM-B,SQM-B.SN,2021-06-04,33050.0,92124.0
BSANTANDER,BSANTANDER.SN,2021-06-11,38.79999923706055,95178915.0
CENCOSUD,CENCOSUD.SN,2021-06-11,1448.0,2860509.0
FALABELLA,FALABELLA.SN,2021-06-11,3130.0,2036445.0
SQM-B,SQM-B.SN,2021-06-11,34587.0,238362.0
BSANTANDER,BSANTANDER.SN,2021-06-18,38.31999969482422,237517325.0
CENCOSUD,CENCOSUD.SN,2021-06-18,1474.0,5118810.0
FALABELLA,FALABELLA.SN,2021-06-18,3249.0,3640436.0
SQM-B,SQM-B.SN,2021-06-18,32012.0,1898603.0
BSANTANDER,BSANTANDER.SN,2021-06-25,37.380001068115234,69088007.0
CENCOSUD,CENCOSUD.SN,2021-06-25,1462.0,2569191.0
FALABELLA,FALABELLA.SN,2021-06-25,3197.0,2322903.0
SQM-B,SQM-B.SN,2021-06-25,34606.0,118918.0
BSANTANDER,BSANTANDER.SN,2021-07-02,35.470001220703125,85360331.0
CENCOSUD,CENCOSUD.SN,2021-07-02,1430.0,1859321.0
FALABELLA,FALABELLA.SN,2021-07-02,3125.0,1240637.0
SQM-B,SQM-B.SN,2021-07-02,35250.0,174122.0
BSANTANDER,BSANTANDER.SN,2021-07-09,35.33000183105469,69678774.0
CENCOSUD,CENCOSUD.SN,2021-07-09,1386.800048828125,1803634.0
FALABELLA,FALABELLA.SN,2021-07-09,3150.0,1358704.0
SQM-B,SQM-B.SN,2021-07-09,35950.0,147994.0
BSANTANDER,BSANTANDER.SN,2021-07-16,33.599998474121094,33368739.0
CENCOSUD,CENCOSUD.SN,2021-07-16,1380.0,960133.0
FALABELLA,FALABELLA.SN,2021-07-16,3065.0,1369137.0
SQM-B,SQM-B.SN,2021-07-16,37350.0,79123.0
BSANTANDER,BSANTANDER.SN,2021-07-23,35.45000076293945,53829096.0
CENCOSUD,CENCOSUD.SN,2021-07-23,1405.0,1635858.0
FALABELLA,FALABELLA.SN,2021-07-23,2910.0,1652244.0
SQM-B,SQM-B.SN,2021-07-23,36048.0,176011.0
BSANTANDER,BSANTANDER.SN,2021-07-30,37.45000076293945,89642491.0
CENCOSUD,CENCOSUD.SN,2021-07-30,1376.4000244140625,2550656.0
FALABELLA,FALABELLA.SN,2021-07-30,2950.0,2199794.0
SQM-B,SQM-B.SN,2021-07-30,36250.0,244932.0
BSANTANDER,BSANTANDER.SN,2021-08-06,38.0,93117429.0
CENCOSUD,CENCOSUD.SN,2021-08-06,1350.0,1218765.0
FALABELLA,FALABELLA.SN,2021-08-06,3040.0,2442579.0
SQM-B,SQM-B.SN,2021-08-06,39489.0,124123.0
BSANTANDER,BSANTANDER.SN,2021-08-13,38.900001525878906,151307481.0
CENCOSUD,CENCOSUD.SN,2021-08-13,1487.0,4743441.0
FALABELLA,FALABELLA.SN,2021-08-13,3170.0,2060677.0
SQM-B,SQM-B.SN,2021-08-13,42001.0,316717.0
BSANTANDER,BSANTANDER.SN,2021-08-20,39.720001220703125,147150614.0
CENCOSUD,CENCOSUD.SN,2021-08-20,1429.0,3272809.0
FALABELLA,FALABELLA.SN,2021-08-20,3090.0,1365400.0
SQM-B,SQM-B.SN,2021-08-20,38949.0,160254.0
BSANTANDER,BSANTANDER.SN,2021-08-27,40.400001525878906,65514034.0
CENCOSUD,CENCOSUD.SN,2021-08-27,1478.0,1863896.0
FALABELLA,FALABELLA.SN,2021-08-27,3068.0,1626937.0
SQM-B,SQM-B.SN,2021-08-27,40240.0,122050.0
BSANTANDER,BSANTANDER.SN,2021-09-03,39.29999923706055,301363452.0
CENCOSUD,CENCOSUD.SN,2021-09-03,1460.0,3262611.0
FALABELLA,FALABELLA.SN,2021-09-03,2994.89990234375,2725937.0
SQM-B,SQM-B.SN,2021-09-03,41790.0,247081.0
BSANTANDER,BSANTANDER.SN,2021-09-10,39.95000076293945,104275298.0
CENCOSUD,CENCOSUD.SN,2021-09-10,1440.0,1452256.0
FALABELLA,FALABELLA.SN,2021-09-10,2889.0,1010093.0
SQM-B,SQM-B.SN,2021-09-10,44301.0,189437.0
BSANTANDER,BSANTANDER.SN,2021-09-17,40.900001525878906,126301235.0
CENCOSUD,CENCOSUD.SN,2021-09-17,1426.800048828125,4403252.0
FALABELLA,FALABELLA.SN,2021-09-17,2874.0,1868419.0
SQM-B,SQM-B.SN,2021-09-17,44230.0,1850813.0
BSANTANDER,BSANTANDER.SN,2021-09-24,39.720001220703125,43867520.0
CENCOSUD,CENCOSUD.SN,2021-09-24,1420.0,2157308.0
FALABELLA,FALABELLA.SN,2021-09-24,2795.0,2048299.0
SQM-B,SQM-B.SN,2021-09-24,44180.0,320116.0
BSANTANDER,BSANTANDER.SN,2021-10-01,39.900001525878906,88200460.0
CENCOSUD,CENCOSUD.SN,2021-10-01,1518.0,2799860.0
FALABELLA,FALABELLA.SN,2021-10-01,2837.800048828125,2255865.0
SQM-B,SQM-B.SN,2021-10-01,43298.0,290902.0
BSANTANDER,BSANTANDER.SN,2021-10-08,39.689998626708984,61466768.0
