date,Sigma-6,Delta-12,Gamma-6,Oro,Mercado chileno,Conjunto AlphaData
2026-09-16,100.0,100.0,100.0,100.0,100.0,100.0
2026-09-17,99.892915931125,99.8215,99.9,99.9,100.66408632898283,99.8705625
2026-09-21,100.63306361244523,100.17551670667198,100.09934456307563,101.0789436484889,100.67573919052326,100.37280888827758
