ticker,adjusted_close,momentum_12_1,sma200,rsi14,liquidity_percentile,history_rows,eligible,reason
ILC,21450.0,1.264529080026116,18936.67919921875,45.58367405643528,20.0,2882,True,elegible
PARAUCO,4039.89990234375,0.9979165954130014,3519.559803466797,61.5787914959606,63.33333333333333,2882,True,elegible
MALLPLAZA,3950.0,0.8767806811010821,3622.4098510742188,54.95967141943098,70.0,1990,True,elegible
SQM-B,65450.0,0.7659257515453564,65160.638671875,37.80378951335122,100.0,2882,True,elegible
BCI,62502.0,0.6635031242587375,57678.92203125,55.308157268510456,86.66666666666667,2882,True,elegible
ECL,1807.0,0.5000532550644956,1559.4588812255859,55.06333095999524,40.0,2882,True,elegible
CHILE,188.5,0.4248452926767692,169.8085563659668,62.16807350670353,93.33333333333333,2882,True,elegible
BSANTANDER,77.0,0.39600558687983267,70.49421655654908,56.952958930353766,83.33333333333334,2882,True,elegible
LTM,24.690000534057617,0.35114717314879207,23.723554430007933,46.720993001014186,96.66666666666667,2882,True,elegible
ANDINA-B,4699.89990234375,0.34001359639850826,4229.598621826171,60.69426070323775,53.333333333333336,2882,True,elegible
ENELCHILE,81.01000213623047,0.3158383675760992,73.68239246368408,52.837271943874356,66.66666666666666,2554,True,elegible
VAPORES,46.5099983215332,0.031644481757975296,43.261119480133054,59.611093104214675,50.0,2882,True,elegible
SALFACORP,1249.0,0.7748202338647754,1243.7599502563476,43.44041490613756,6.666666666666667,2882,False,liquidez inferior al percentil 20
ITAUCL,20678.0,0.5613852181651366,18751.724853515625,72.74084581227947,73.33333333333333,2882,False,RSI14 superior a 65
CAP,6313.2998046875,0.3680753773357841,6842.642485351563,42.625280225486016,13.333333333333334,2882,False,bajo SMA200
CENCOMALLS,2210.0,0.29589895399186283,2403.80825012207,27.932852213257632,23.333333333333332,1763,False,bajo SMA200
ENTEL,3643.0,0.25491552409037643,3945.1638671875,51.08771082803772,16.666666666666664,2882,False,bajo SMA200
FALABELLA,5835.0,0.23979875533051542,5933.492492675781,49.79740528956047,90.0,2882,False,bajo SMA200
QUINENCO,4279.0,0.2078197856669819,4028.19716796875,73.56192197553463,46.666666666666664,2882,False,RSI14 superior a 65
IAM,921.8900146484376,0.1798830628961383,963.3649508666992,50.2371168975323,3.3333333333333335,2882,False,bajo SMA200
AGUAS-A,332.3999938964844,0.0540797113721847,346.6666175842285,46.578020165083345,43.333333333333336,2882,False,bajo SMA200
RIPLEY,382.9599914550781,0.00998279959506787,400.48421524047853,51.49351999966879,26.666666666666668,2882,False,bajo SMA200
COPEC,6249.60009765625,-0.04901047997807029,6565.111791992187,60.32589117021934,76.66666666666667,2882,False,momentum no positivo
COLBUN,135.2899932861328,-0.06229910723410825,138.16922103881836,60.39734837083959,36.666666666666664,2882,False,momentum no positivo
CCU,5218.0,-0.09820988860930513,5588.960190429688,52.18069969594814,30.0,2882,False,momentum no positivo
ENELAM,84.04000091552734,-0.09930362200416698,83.39199558258056,55.98158774774669,60.0,2882,False,momentum no positivo
SMU,127.9000015258789,-0.12062198032336546,143.73937480926514,34.292952322262295,33.33333333333333,2364,False,momentum no positivo
CONCHATORO,852.3300170898438,-0.14579243861556224,917.8582302856445,45.12797884371282,10.0,2882,False,momentum no positivo
CMPC,1070.0,-0.2335214710857213,1226.3560498046875,50.60167805625577,56.666666666666664,2882,False,momentum no positivo
CENCOSUD,1995.0,-0.2545080810159187,2562.870209350586,33.87011415737575,80.0,2882,False,momentum no positivo
