,"Gamma-6 US (top 6, pesos 2/1/1, > SMA200)","Referencia: Gamma-8 base (top 8, pesos 1/1/1, > SMA200)","Referencia: Gamma-8 ajustada por volatilidad (top 8, 1/1/1)",Benchmark: EW rebalanceada mensual,Candidata simple: EW con tendencia por acción,Referencia: buy & hold sin rebalancear
2014,0.06847778833505846,0.08513700541571434,0.08522308068891071,0.058564584249813034,0.07858896935087545,0.09570124243607991
2015,0.4180903707020258,0.31227263941849737,0.28733260430400476,0.07273723124905662,0.15865298257067795,0.10544649679043672
2016,0.32885528991805546,0.2104471071845353,0.24010716848392288,0.1934133002379721,0.14837673535898066,0.20651675663767444
2017,0.2861675384760076,0.2702664536653274,0.2880330498886632,0.29464153000951776,0.28392440723313284,0.3546431897643765
2018,0.11158441900440352,0.1288421620488691,0.11838123579170223,0.00301891332431814,0.0025958538177461854,-0.022851443342549627
2019,0.37998155612586837,0.28743939752128855,0.2301835598207933,0.34189555903172586,0.23632673092911505,0.38127958959504715
2020,0.5607235204051881,0.5059981684712371,0.457769883284721,0.253035914185894,0.3516177115411674,0.42718395554060384
2021,0.29959600986047175,0.2496559712599129,0.2766540836892242,0.3459068249869206,0.3544807765943092,0.5215972406551261
2022,-0.0101747338099899,0.007248930184516222,-0.03703682923941776,-0.12450745670930274,0.013514621664063142,-0.3089371348865301
2023,0.2543188067507127,0.11574020363880488,0.13038033673582206,0.1974652107413597,0.07986117122116188,0.7941157073044729
2024,0.3205314869351332,0.26282249922349243,0.2880970400380296,0.1722619910950618,0.20856401944667247,0.9571735589048196
2025,0.18129502601584346,0.1288393270510393,0.10366344402221395,0.20279579020145544,0.18503240833896228,0.32376126544105244
2026,0.29549077591083095,0.31999739276318917,0.1831738058410315,0.18336221875075265,0.21912489319157769,0.1788038956058895
