inicio,fondo,dias,chile,fx,con,sin,beneficio
2007-12-07,2008-01-23,47,-0.24668326180198819,-0.05789579244805676,-0.13763936909961727,-0.11875900537167139,-0.01888036372794588
2008-04-21,2008-09-29,161,-0.21658753733229574,0.16012710617775583,-0.08446982416054027,-0.16416011693197496,0.07969029277143469
2008-09-30,2008-10-10,10,-0.2994740261094121,0.09144692635285145,-0.08784850736136363,-0.16383683795156256,0.07598833059019894
2008-11-03,2008-11-21,18,-0.16327744063533745,-0.03564708070738387,-0.09533354755310308,-0.08583382190294553,-0.009499725650157553
2009-02-09,2009-03-03,22,-0.15318638494124004,-0.0025804745817410435,-0.12558468715059046,-0.12522090846314882,-0.00036377868744164044
2010-11-04,2011-03-14,130,-0.172094165570716,-0.035698203306468224,-0.042444868587640405,-0.021778097537779595,-0.02066677104986081
2011-05-18,2011-08-08,82,-0.28445138267617254,-0.042444039404132994,-0.15165944177575608,-0.13029649752385253,-0.02136294425190355
2011-08-31,2011-09-23,23,-0.1797312854715175,0.05378496723790316,-0.08713527048859404,-0.11636050710673218,0.02922523661813814
2012-04-02,2012-09-05,156,-0.1601913376907237,-0.015264792287247086,-0.07084774065213895,-0.062103890025685504,-0.008743850626453442
2013-02-13,2016-01-15,1066,-0.3277704618646631,0.5353278046419097,0.06505222426354296,-0.18353453545764775,0.2485867597211907
2018-01-31,2018-09-04,216,-0.15611161825885767,0.12598938044688923,-0.015128334558091372,-0.08788112922222102,0.07275279466412965
2018-09-20,2019-08-26,340,-0.22377813210976782,0.034962461985555526,-0.02284617841036185,-0.03899768390873959,0.01615150549837774
2019-10-17,2019-11-12,26,-0.15549875870905305,0.06289270863798135,-0.011307524538758273,-0.04940517105990394,0.03809764652114567
2019-11-15,2020-03-18,124,-0.434109439205819,0.055335148858474126,-0.2080073451151555,-0.23706996307088657,0.029062617955731063
2020-07-06,2020-09-23,79,-0.2034630364611083,-0.03154611944260444,-0.0728371532843135,-0.04911850711322052,-0.023718646171092983
2021-03-17,2021-10-14,211,-0.23609118085923209,0.12018429210336978,0.03148108707290187,-0.04182428591788201,0.07330537299078388
2021-11-22,2021-12-20,28,-0.23149941885388114,0.017763294459541168,-0.0656050691878538,-0.07286895269434501,0.007263883506491209
2022-09-02,2022-10-14,42,-0.1824689075822663,0.04566291768290376,-0.05952810311874779,-0.08465185160860145,0.02512374848985366
2023-07-26,2023-11-01,98,-0.16245129849776396,0.08120541391041791,-0.04371044181343675,-0.08877982459155409,0.04506938277811734
2026-01-27,2026-03-20,52,-0.1520244853433742,0.05540193836507612,-0.07431110145839726,-0.10112010547760286,0.026809004019205607
